#{"t_start": 1603714280.3533444, "env_id": "HalfCheetah-v2"}
r,l,t
-413.813269,1000,1.556734
-360.846378,1000,1.782463
-328.45875,1000,2.010547
-328.662675,1000,2.258372
-286.214101,1000,2.493049
-338.905701,1000,2.727659
-228.874803,1000,2.947914
-472.664983,1000,3.174545
-240.918113,1000,3.414176
-403.613938,1000,3.651492
-260.942375,1000,12.095135
-206.117261,1000,18.145124
-331.872787,1000,24.289297
-146.052324,1000,30.643301
-204.308085,1000,36.996174
-220.53918,1000,43.33649
-278.349038,1000,49.704835
-257.797551,1000,56.084716
-271.948312,1000,62.445731
-253.573283,1000,68.795154
-210.586231,1000,77.194015
-133.947022,1000,83.895671
-224.216045,1000,90.694453
-186.100569,1000,97.193377
-297.038996,1000,103.555871
-236.949823,1000,109.98958
-62.831761,1000,116.412767
-36.150551,1000,122.771896
99.720588,1000,129.125861
478.962703,1000,135.662374
144.722188,1000,144.133133
883.293236,1000,150.92079
761.950123,1000,157.291839
432.498201,1000,163.836057
1322.465708,1000,170.67736
1380.766611,1000,177.233957
1697.094154,1000,183.77341
1825.364113,1000,190.3252
2174.900338,1000,196.865018
2500.129135,1000,203.424383
2417.616927,1000,211.669902
906.837245,1000,218.340841
2611.777455,1000,225.2041
313.610556,1000,232.186707
4.556961,1000,239.098324
2922.21621,1000,245.832664
33.497467,1000,252.527848
-126.011269,1000,259.253865
2695.151508,1000,266.098905
386.748248,1000,272.823727
2685.164982,1000,281.487269
2132.126439,1000,288.309201
716.968651,1000,294.896295
442.204807,1000,301.829074
1116.220231,1000,308.763812
590.60133,1000,315.796446
2757.63006,1000,322.570271
2794.126973,1000,329.222781
2890.971442,1000,335.836384
2734.410135,1000,342.333712
2742.428422,1000,350.869875
3048.837889,1000,357.342481
2940.712345,1000,363.816518
2907.305481,1000,370.32125
2947.110866,1000,377.028095
3045.195194,1000,383.686867
3129.407423,1000,390.334252
3377.910479,1000,397.005159
3005.01146,1000,404.155929
2844.05447,1000,410.699885
3033.252902,1000,419.067002
3337.556122,1000,425.562347
3298.323677,1000,432.26686
3077.123213,1000,438.909059
3074.634735,1000,445.535565
3130.429645,1000,452.139441
3126.442381,1000,458.600267
411.575607,1000,465.076633
3178.436693,1000,471.564479
2055.969953,1000,478.042653
3251.703127,1000,486.664979
3190.687647,1000,493.286669
3326.553175,1000,500.167245
3124.712201,1000,507.147692
3195.122448,1000,514.204127
2990.657602,1000,520.871327
3206.90225,1000,527.442817
3248.818852,1000,534.241139
3432.997361,1000,540.956241
3516.354355,1000,547.892315
3675.55905,1000,556.987729
3218.810299,1000,563.81033
3479.950831,1000,570.4514
3260.614671,1000,577.208554
3370.608857,1000,583.920385
3756.195943,1000,590.588153
3251.431185,1000,597.602907
3255.594147,1000,604.81554
2911.102436,1000,611.754017
3765.432593,1000,618.89433
3623.218301,1000,627.838997
4004.787793,1000,634.857401
3571.211368,1000,641.87008
3339.972022,1000,648.619136
3338.976724,1000,655.489943
3562.802373,1000,662.532873
2621.652965,1000,669.217587
4024.107717,1000,675.889511
3768.774415,1000,683.801236
3685.898265,1000,690.447371
3963.667822,1000,699.480734
3683.752539,1000,706.041088
3468.935653,1000,712.919583
3735.45126,1000,719.506547
3602.522259,1000,726.077636
3871.440526,1000,733.20351
4073.631123,1000,740.583973
3908.735499,1000,747.849364
4202.027212,1000,755.007682
2749.453876,1000,762.626106
3966.134729,1000,772.16586
