#{"t_start": 1602602945.3997307, "env_id": "Walker2d-v2"}
r,l,t
-9.24449,27,1.39409
-2.174025,15,1.399312
-3.201991,23,1.407018
8.076427,21,1.414208
2.404083,17,1.420052
-0.285633,11,1.424157
11.503254,24,1.432122
6.513981,37,1.444993
3.717355,47,1.461605
-1.916231,9,1.465163
7.123568,25,1.474184
6.664903,31,1.485075
0.390969,17,1.491292
3.004397,15,1.496828
6.632525,31,1.508147
15.950803,28,1.519177
2.96277,18,1.525949
1.683933,16,1.531726
4.989265,17,1.538318
-2.882551,16,1.544106
-1.714357,11,1.548437
1.76721,13,1.552845
7.688086,20,1.560023
-1.245417,11,1.564358
-3.392972,25,1.573318
12.384753,29,1.584091
3.934902,20,1.591698
-3.525978,25,1.600857
4.962486,24,1.609513
1.306891,13,1.614015
-1.281446,13,1.61905
1.032386,19,1.625876
-1.373498,18,1.632423
0.937026,20,1.640155
-2.296269,25,1.648965
0.962717,41,1.663903
1.471996,17,1.669767
4.413851,33,1.68191
6.105707,23,1.690714
5.894453,30,1.701306
-2.281419,13,1.706284
1.279797,13,1.711247
5.090915,17,1.717332
10.542342,40,1.731779
-1.30369,12,1.736303
-1.703421,17,1.742386
9.782935,25,1.751715
12.867359,26,1.761287
4.917412,27,1.771312
-5.667386,44,1.787807
-1.266702,28,1.797687
3.851557,23,1.805895
13.478451,32,1.81793
-3.954594,14,1.823202
-2.490981,14,1.828485
-2.583242,17,1.834879
4.338184,21,1.842711
-1.588444,25,1.851685
-0.55087,33,1.8634
1.196713,33,1.876009
-5.462103,19,1.882902
10.079005,34,1.89539
-4.288048,31,1.907111
-7.892196,24,1.915885
4.187746,24,1.924636
-2.432077,24,1.933872
2.3161,23,1.942333
-1.164455,10,1.946048
-2.844192,9,1.949619
2.148709,12,1.95412
-1.971959,27,1.963712
1.677831,17,1.96993
18.770037,36,1.982961
-2.428385,9,1.986395
1.352416,26,1.996111
12.626521,27,2.005835
0.630747,20,2.013161
-3.212096,15,2.018543
16.9711,39,2.032991
-3.358378,19,2.040455
-0.230437,12,2.044818
-0.372414,13,2.049316
11.376359,28,2.059519
13.701097,26,2.069201
-5.048817,19,2.076431
17.637006,39,2.090825
-4.031491,14,2.096201
-2.610763,16,2.101762
7.463329,31,2.112947
2.183122,28,2.123267
-1.351701,30,2.13373
2.002678,18,2.140608
-4.355651,27,2.150168
0.438941,15,2.155653
5.660485,17,2.162091
4.521053,22,2.170304
-1.531057,14,2.175557
1.139705,18,2.182031
2.015244,27,2.191922
5.500114,19,2.198847
18.229754,39,2.213385
-3.910578,21,2.220737
-0.823684,13,2.225493
8.007811,53,2.244707
5.753087,19,2.252151
-1.906378,26,2.261404
-1.133862,16,2.267537
1.830133,14,2.272845
-4.027662,17,2.279242
5.187202,17,2.286141
3.546019,31,2.297459
0.034465,16,2.303853
-3.185945,9,2.307731
0.472404,16,2.313578
7.044981,29,2.324231
-1.235745,21,2.331711
17.429659,36,2.345701
-6.024814,11,2.349947
3.738021,14,2.355137
3.544659,20,2.362508
-2.245713,17,2.369092
9.035062,34,2.38128
1.830738,25,2.390775
-3.238437,13,2.395527
6.803798,29,2.406281
7.957542,33,2.41779
0.290483,23,2.426
2.536437,18,2.432801
6.936386,30,2.443846
-2.025958,12,2.44842
-0.642302,10,2.452216
1.333746,12,2.457236
-3.543192,18,2.463728
8.393579,34,2.476013
-0.227579,21,2.484086
-5.141588,17,2.490615
-1.877974,12,2.49553
3.143357,12,2.499658
-4.588136,12,2.503993
15.348064,36,2.517149
3.849092,25,2.526347
-4.340132,19,2.533199
0.55543,26,2.542707
7.274064,22,2.550936
-1.645628,12,2.555605
-1.822145,15,2.561153
-5.725067,18,2.567572
13.130892,26,2.5768
18.794043,33,2.589173
9.681702,32,2.600655
-1.943923,22,2.608903
6.042199,18,2.615859
-2.173479,15,2.621473
8.146182,20,2.62916
0.414503,12,2.633888
1.391002,18,2.640751
-2.884713,22,2.64871
-6.056867,19,2.65575
1.548624,25,2.664635
2.521944,26,2.674143
3.951835,24,2.683013
-2.256895,16,2.689218
-2.278992,12,2.693689
11.18298,24,2.702312
-1.145007,14,2.70755
2.552282,13,2.712447
3.77148,16,2.718313
-1.843886,26,2.727892
2.225285,14,2.733443
19.493325,45,2.749686
1.701748,17,2.75598
-1.829095,9,2.759548
0.639303,10,2.763423
6.006409,31,2.774966
1.932785,15,2.780698
0.229421,26,2.790386
-4.383726,10,2.794327
3.174594,16,2.800056
-0.593897,11,2.804274
5.044222,18,2.811285
-0.460726,14,2.816534
5.828986,18,2.823192
0.952759,26,2.832761
-2.262162,13,2.837486
4.463023,15,2.84327
-5.689717,22,2.85139
12.042409,24,2.860211
4.108594,25,2.869155
0.188845,12,2.873571
0.271114,21,2.88105
-5.43995,16,2.886896
12.713044,54,2.906441
1.242885,26,2.916062
-4.736491,21,2.923337
-4.124942,24,2.932596
2.641218,30,2.943654
0.377752,15,2.949074
-0.065642,21,2.956769
5.882009,35,2.969865
1.549966,30,2.980893
-2.864883,39,2.994739
-1.327025,12,2.999056
7.143564,23,3.007683
-1.190834,24,3.016384
-2.064724,22,3.024564
-1.434076,12,3.028994
30.445928,52,3.047822
4.994343,19,3.054857
-2.432233,16,3.061849
8.666818,20,3.06932
0.881985,16,3.075097
1.54091,22,3.083106
-6.096427,21,3.091112
1.611882,15,3.097723
-1.283538,25,3.106917
10.707494,30,3.117396
8.176764,30,3.128509
28.97388,51,3.146755
1.890233,29,3.157641
-1.273868,22,3.165634
-3.87955,12,3.170024
-1.72021,11,3.174116
-2.493525,17,3.180339
-2.455069,20,3.187619
1.887758,20,3.19526
11.077694,18,3.20177
-1.294686,21,3.209766
-0.744454,11,3.213891
4.798251,15,3.219562
0.008016,10,3.223066
-2.313759,16,3.228333
0.948441,25,3.237419
2.1806,13,3.242433
3.969472,31,3.253729
7.79571,23,3.262105
1.27245,16,3.268476
3.086105,17,3.27509
-1.33751,12,3.279547
19.184251,32,3.29206
-0.331697,24,3.301176
-2.392911,34,3.313709
2.830616,21,3.321399
-3.329285,16,3.327393
-2.29442,20,3.334634
-4.777065,24,3.343803
4.091872,15,3.349098
0.448895,14,3.354307
3.21884,15,3.3597
9.348378,36,3.372461
1.784987,22,3.380385
-2.766891,29,3.390933
16.022522,35,3.403205
0.637204,25,3.412528
0.831945,27,3.422746
-6.120926,22,3.430637
-3.513617,9,3.433989
0.064704,13,3.440415
-0.145375,13,3.447964
1.353541,14,3.453498
10.418916,33,3.465877
1.615899,21,3.474016
-0.300899,10,3.47787
-6.589772,21,3.485069
4.389358,21,3.49262
2.090336,16,3.4986
1.887773,20,3.505783
-5.366204,23,3.513933
-1.345353,12,3.518382
-8.114162,20,3.52593
1.829361,19,3.533098
8.842513,19,3.540993
-3.1027,9,3.544723
0.358206,13,3.549577
-0.968246,27,3.55908
2.936111,24,3.567629
3.090462,18,3.574026
1.98004,14,3.579307
-0.355322,27,3.589109
2.245687,33,3.600982
-1.149293,18,3.60777
-2.596489,12,3.612319
10.530547,36,3.625087
-7.630248,24,3.633449
6.965562,18,3.64069
-2.242435,12,3.645395
2.573678,16,3.65093
-1.867796,22,3.658999
-8.234377,21,3.666775
-1.405682,18,3.673674
-2.045954,29,3.684369
-2.378101,13,3.689237
2.029219,12,3.693745
6.885259,38,3.707708
3.567988,18,3.714394
-3.212639,11,3.718535
-1.024108,29,3.729276
3.346485,23,3.738059
-3.721441,20,3.746044
-3.130885,10,3.749608
-1.399507,10,3.753386
12.602865,30,3.764126
3.322521,27,3.773935
-4.695058,21,3.781235
-0.976499,13,3.786224
4.805137,23,3.794562
-0.776202,12,3.7993
16.914708,32,3.810998
0.859272,20,3.818563
0.975859,15,3.824351
2.001677,18,3.830838
4.310403,24,3.839914
17.341362,58,3.861281
2.902696,22,3.869282
-2.47779,17,3.875829
0.05996,16,3.881813
-3.155457,21,3.889432
1.132452,21,3.897687
-4.588484,24,3.906569
11.392543,23,3.914804
3.597064,13,3.919667
-4.786054,18,3.926183
-3.376817,24,3.934613
5.799013,19,4.015161
-1.915334,20,4.022146
0.143699,14,4.027178
-2.212575,23,4.035243
-1.794533,13,4.039798
12.966911,34,4.05227
1.046898,22,4.060738
16.636777,35,4.073268
4.772844,16,4.079122
-0.064727,39,4.093253
0.633889,14,4.098513
7.534502,40,4.113309
7.235093,22,4.121721
-5.34637,9,4.124981
-3.168344,11,4.129376
1.712364,14,4.134273
-1.144983,10,4.137976
-4.027319,11,4.142054
3.139566,22,4.150718
-0.132464,13,4.155654
6.099698,38,4.169777
2.014262,14,4.175037
-1.835557,25,4.184122
-3.41669,9,4.187721
-0.925122,39,4.201653
-7.968176,26,4.210739
-0.704669,21,4.218546
4.866554,18,4.224925
-3.827178,20,4.232415
-0.590996,15,4.237962
2.488966,21,4.246741
-0.606023,13,4.251975
5.987307,27,4.261699
3.188779,13,4.266616
-3.33299,11,4.271105
-1.555277,15,4.276603
0.471367,22,4.284705
11.568345,28,4.295108
-2.10458,9,4.298731
9.407843,27,4.308637
-1.376539,14,4.313994
-0.423305,13,4.319048
3.061616,17,4.325498
-6.914901,17,4.331247
-5.093235,18,4.338191
10.340337,24,4.347887
2.640092,22,4.356118
6.495609,16,4.362233
-6.227939,22,4.370344
2.038661,26,4.37996
-13.303586,15,4.385897
-0.181165,18,4.392344
-4.019067,17,4.398525
-0.823518,10,4.402649
-5.031502,25,4.411995
6.197992,35,4.424347
-5.062584,20,4.431515
-2.004661,13,4.436333
-1.867992,10,4.440397
0.135544,13,4.445686
