#{"t_start": 1602658283.3454275, "env_id": "Ant-v2"}
r,l,t
891.222362,1000,1932.081013
905.836861,1000,1944.934143
915.761859,1000,1957.441646
920.422769,1000,1970.269998
935.776537,1000,1983.130157
759.036177,1000,1996.056972
957.37345,1000,2008.961234
920.251303,1000,2028.335701
959.484203,1000,2041.240705
966.209169,1000,2053.821489
1039.912274,1000,2066.121861
631.97497,617,2074.043404
1042.730578,1000,2086.851095
996.679973,1000,2099.634688
965.06109,1000,2112.494965
1025.28507,1000,2125.392463
1007.999942,1000,2138.280945
452.400869,618,2146.246212
975.319491,1000,2166.67556
957.853709,1000,2179.439337
741.389306,777,2189.443753
715.713516,1000,2202.360516
1017.881327,1000,2214.889353
1055.321464,1000,2227.740428
162.973165,179,2230.012347
399.490058,1000,2242.911232
869.629932,875,2254.186085
975.212285,1000,2266.65031
1045.88823,1000,2279.510477
992.658858,1000,2300.187753
1020.585028,1000,2313.023532
1072.795723,1000,2325.851915
1103.41027,1000,2338.71371
1009.727466,1000,2351.502205
1132.860297,1000,2364.141922
1062.343098,1000,2376.595241
1029.169446,1000,2389.288646
1059.530422,1000,2402.112457
988.01761,1000,2414.991188
1053.154669,1000,2435.602326
1060.200274,1000,2448.417983
1093.797306,1000,2461.255548
1083.847175,1000,2473.721188
1074.3101,1000,2486.5428
1129.885233,1000,2499.36875
17.820893,38,2499.856274
1141.85543,1000,2512.768603
1093.012462,1000,2525.586488
1149.177669,1000,2538.430333
548.554682,503,2544.537996
1174.652793,1000,2557.396759
1125.318644,1000,2577.708251
1078.236958,1000,2590.58802
1060.112087,1000,2603.403715
1064.709904,1000,2616.269496
1123.180997,1000,2629.094972
1111.462317,1000,2641.960883
1063.483521,1000,2654.780869
1011.548369,1000,2667.573767
1149.112826,1000,2679.981384
1195.225088,1000,2692.805946
1125.151925,1000,2712.947331
1116.602897,1000,2725.789023
1157.819447,1000,2738.580296
1149.820653,1000,2751.468344
1206.428342,1000,2764.227651
1176.726001,1000,2776.692054
1177.973927,1000,2789.521808
1224.671466,1000,2802.381966
1123.371894,1000,2815.183537
1279.890452,1000,2828.049669
1238.470939,1000,2848.698072
1203.263007,1000,2861.517908
1258.522332,1000,2873.978464
1227.312049,1000,2886.414644
1222.265814,1000,2899.273905
1303.465835,1000,2912.073002
385.713224,1000,2925.018029
1249.016298,1000,2937.841707
1215.960614,1000,2950.679424
1266.440666,1000,2963.471472
347.000703,291,2974.975711
1296.49597,1000,2987.356562
1179.53326,1000,3000.117438
1262.187861,1000,3012.943493
1300.200026,1000,3025.718617
1247.651528,1000,3038.279752
1291.572526,1000,3051.075323
1219.835825,1000,3063.881724
1311.833739,1000,3076.66481
1323.205222,1000,3089.13138
472.918027,388,3094.100858
1319.891362,1000,3114.672378
1301.977177,1000,3127.475955
1299.723337,1000,3140.318811
1279.91417,1000,3153.095171
1314.3025,1000,3165.886662
1316.596186,1000,3178.723848
1408.250488,1000,3191.261018
1284.923203,1000,3203.646126
1333.578002,1000,3216.454756
1331.853694,1000,3229.310599
1297.009117,1000,3250.072165
1297.892894,1000,3262.861126
1358.434717,1000,3275.661901
1341.928779,1000,3287.944691
1306.782998,1000,3300.702242
1275.453755,1000,3313.516608
1361.891833,1000,3326.312316
1344.508263,1000,3339.208568
1373.998718,1000,3352.010369
1248.899312,1000,3364.459492
1332.45162,1000,3385.055936
786.029473,618,3392.14471
1315.847788,1000,3404.657504
1403.601837,1000,3417.483528
1384.878544,1000,3430.292535
1367.696954,1000,3443.112075
1396.738703,1000,3455.993327
1340.920916,1000,3468.847498
1344.394681,1000,3481.697331
1367.894967,1000,3494.550581
1377.09299,1000,3514.317602
1343.293397,1000,3526.57601
1452.192858,1000,3539.414976
1439.795875,1000,3552.183793
1362.786978,1000,3565.039381
1277.182612,1000,3577.873569
1410.171159,1000,3590.731677
1173.540035,1000,3602.761457
1372.33497,1000,3615.269487
1411.50696,1000,3628.096521
1412.560422,1000,3648.715652
1368.583959,1000,3661.54547
612.954488,427,3667.010111
1409.963348,1000,3679.714611
1289.18694,1000,3692.216378
1378.022256,1000,3704.859501
1317.543506,1000,3717.202852
1388.57926,1000,3729.999311
1414.713029,1000,3742.823162
1423.799753,1000,3755.65563
1401.143863,1000,3768.469085
1419.886991,1000,3789.123864
1355.305706,1000,3801.932719
1471.283589,1000,3814.297162
1463.046762,1000,3827.202999
1420.002484,1000,3839.996633
1443.472791,1000,3852.345138
1482.655266,1000,3865.154404
1400.135726,1000,3877.946633
1410.10843,1000,3890.738964
1418.781454,1000,3903.551056
1546.174131,1000,3923.667709
1447.169869,1000,3936.455033
152.427045,115,3937.932844
1370.918293,1000,3950.714154
1419.296855,1000,3963.567146
1351.730809,1000,3976.374326
1459.09921,1000,3989.14204
1464.384645,1000,4001.977609
1464.18172,1000,4014.086135
1476.636758,1000,4026.828669
1469.12419,1000,4039.614944
1446.351506,1000,4060.254346
1444.110366,1000,4073.091412
1508.602838,1000,4085.911962
1502.621872,1000,4098.749678
1463.466093,1000,4111.56578
1432.597774,1000,4124.452837
1458.125264,1000,4138.124814
1524.792351,1000,4151.886023
1473.108375,1000,4165.589739
1461.876653,1000,4178.258076
1475.991052,1000,4199.106171
1496.030871,1000,4212.196208
1462.738273,1000,4224.994321
1573.777177,1000,4238.928144
1480.007344,1000,4253.324635
540.3006,375,4258.414407
1447.208968,1000,4272.003088
1594.436319,1000,4285.755838
1627.938499,1000,4299.432341
778.484564,514,4306.2803
1542.725811,1000,4320.010732
1450.270957,1000,4340.578775
1606.473696,1000,4352.622303
1600.387408,1000,4365.498438
1588.620761,1000,4378.328015
245.981995,1000,4391.145733
1492.71571,1000,4403.888812
1550.101873,1000,4416.765301
1562.063177,1000,4430.38656
1515.539915,1000,4443.762678
1497.856735,1000,4456.858896
1597.440661,1000,4477.448097
1553.932631,1000,4490.264242
-445.824329,1000,4503.0609
1538.476522,1000,4515.519111
1614.047799,1000,4528.122316
1588.692846,1000,4540.542966
1618.46975,1000,4553.332667
1609.702794,1000,4566.186531
1576.893944,1000,4578.994433
1598.294717,1000,4591.80617
1618.198979,1000,4612.333466
1621.021541,1000,4625.113117
1623.872942,1000,4637.903396
1619.23423,1000,4650.201669
1630.169865,1000,4663.051533
1648.623604,1000,4675.919234
1583.010312,1000,4688.216383
1562.231887,1000,4701.034717
1628.91662,1000,4713.839694
1575.798006,1000,4726.637975
1619.157871,1000,4746.837602
1632.70892,1000,4759.646831
1620.194852,1000,4772.40547
1534.563223,1000,4785.1869
1588.585102,1000,4797.989186
1606.49955,1000,4810.795912
1670.537842,1000,4823.637865
1584.319111,1000,4836.458463
1584.807861,1000,4848.524012
1576.696004,1000,4861.331657
1584.165607,1000,4881.853439
1635.429364,1000,4894.659428
1669.328996,1000,4907.432799
1657.674377,1000,4920.201615
1635.694086,1000,4932.97176
1653.230974,1000,4945.742828
1626.512456,1000,4958.158225
1593.036043,1000,4970.976558
1686.355203,1000,4983.742962
1640.584541,1000,4996.543531
1603.889012,1000,5016.103636
1669.059868,1000,5028.836063
1637.424291,1000,5041.56095
1685.819139,1000,5053.96004
1682.003391,1000,5066.740062
1638.437823,1000,5079.541531
1645.136423,1000,5092.277077
1607.70837,1000,5105.104317
1615.417662,1000,5117.910761
1048.152449,632,5125.97787
1598.333824,1000,5146.494291
1649.589914,1000,5158.901218
1664.123395,1000,5171.285205
1656.685007,982,5182.367794
1629.322168,1000,5195.092935
1674.983897,1000,5207.86635
1669.428959,1000,5220.595052
1674.824272,1000,5233.308302
1695.648985,1000,5246.075901
1645.763241,1000,5258.001377
1607.563515,1000,5278.497972
1672.237737,1000,5291.276661
1189.280048,684,5299.994652
1630.223235,1000,5312.762476
1649.162548,1000,5325.583169
1.707519,10,5325.709728
1668.209882,1000,5338.4399
1680.176133,1000,5350.422687
1650.796185,1000,5362.131624
1680.6958,1000,5374.879356
1630.444185,1000,5387.723283
1614.678465,1000,5400.509243
1674.293278,1000,5421.044244
1640.896074,1000,5433.830544
1633.802376,1000,5446.532763
1678.248782,1000,5459.324587
1679.412038,1000,5471.728271
1620.472042,1000,5484.498307
1669.113754,1000,5497.257786
1662.020474,1000,5508.783259
1626.050785,1000,5521.538687
1683.299167,1000,5534.219011
1685.022514,1000,5554.681457
1350.724245,791,5564.491717
1660.695903,1000,5577.295594
124.41328,102,5578.572891
1763.902158,1000,5591.35771
1653.050466,1000,5604.178136
1684.774432,1000,5616.95736
1723.995676,1000,5629.749268
1705.731223,1000,5642.5283
1656.142969,1000,5655.306917
1642.474603,1000,5667.666089
1754.214308,1000,5687.043291
1632.180791,1000,5699.786736
1625.029244,1000,5712.586196
1623.539513,1000,5725.415078
1667.679622,1000,5738.167979
1679.816596,1000,5750.934204
1673.437304,1000,5763.615161
1663.49662,1000,5776.105892
1690.680676,1000,5788.877916
1747.905124,1000,5801.648485
1710.544957,1000,5820.592012
1794.234827,1000,5833.393609
1722.99411,1000,5845.55397
1719.441404,1000,5858.394422
1756.197696,1000,5870.630326
1782.608035,1000,5883.368813
1770.824885,1000,5896.097037
1691.46262,1000,5908.821557
1669.163968,1000,5921.66706
1607.980964,1000,5934.418395
1794.280522,1000,5955.05525
1816.361644,1000,5967.818257
1688.00444,1000,5980.22883
1663.625851,1000,5992.986594
1751.821886,1000,6004.377045
1656.20535,1000,6017.132093
1673.322082,1000,6029.886397
1762.891171,1000,6042.625186
1740.1983,1000,6055.413498
1699.548418,1000,6068.192877
1660.982932,1000,6087.954192
1606.421941,1000,6100.754755
1749.330371,1000,6113.529186
1807.023286,1000,6126.300884
1734.494718,1000,6139.101847
1704.156747,1000,6151.882794
1701.344774,1000,6164.436433
1530.744201,1000,6176.256056
1738.30181,1000,6187.952288
1731.2353,1000,6200.681372
1758.542047,1000,6221.160873
1781.466561,1000,6233.889168
1724.931336,1000,6246.629709
1710.752787,1000,6259.334745
1787.349666,1000,6272.084727
1822.735399,1000,6284.151834
1740.533693,1000,6296.75712
1758.523687,1000,6309.593977
