#{"t_start": 1602658355.3302953, "env_id": "Humanoid-v2"}
r,l,t
88.54767,18,2.29536
155.88012,33,2.334208
118.607504,25,2.36129
166.006946,34,2.399704
115.101585,23,2.425738
114.631645,23,2.451063
143.757094,29,2.482933
139.392023,32,2.526499
95.032605,19,2.549577
175.547134,37,2.591762
164.846716,33,2.629632
117.644135,24,2.659216
146.4958,31,2.694628
127.833386,29,2.728256
117.648475,24,2.758613
142.611761,31,2.796688
132.8697,27,2.827722
111.037743,22,2.854194
104.711529,21,2.878586
102.587473,21,2.902277
115.655342,23,2.927978
121.849481,25,2.954976
78.526213,16,2.971919
94.949132,19,2.990989
96.77956,20,3.01394
133.434502,27,3.043675
98.018908,20,3.064788
174.657126,36,3.109314
124.431998,26,3.140468
141.755598,29,3.171867
115.924659,24,3.196862
152.013359,32,3.233216
123.321541,25,3.261752
177.166975,38,3.307427
143.557796,29,3.339984
104.196523,21,3.36188
206.244531,41,3.410753
88.490431,18,3.428844
115.251882,24,3.457444
142.431864,31,3.492304
88.720553,18,3.510645
100.739257,21,3.532146
88.707675,18,3.550915
98.886115,20,3.571808
88.202931,18,3.590092
135.23491,27,3.621345
115.660778,23,3.648352
83.48978,17,3.666098
184.804449,38,3.711917
109.753144,22,3.737246
117.315142,25,3.764245
87.68816,18,3.783859
103.709559,22,3.808779
83.300555,17,3.826524
100.083037,20,3.848977
201.107528,40,3.897714
83.513402,17,3.915436
131.338496,26,3.94399
132.115939,27,3.975804
138.424944,29,4.009083
103.679062,22,4.031739
208.231156,44,4.084712
136.662956,27,4.114068
94.844581,19,4.134561
127.700448,26,4.16328
142.300985,29,4.193657
111.19187,23,4.260189
111.310664,22,4.285807
139.607086,29,4.319022
88.048434,18,4.339069
113.083407,23,4.364812
115.122597,23,4.39159
99.571907,20,4.413448
95.037471,20,4.435301
129.426539,26,4.466949
134.033094,26,4.497115
88.765093,18,4.515815
78.217433,16,4.533697
83.188728,17,4.552493
123.42768,25,4.580866
187.80073,40,4.630423
188.37786,40,4.680315
83.398312,17,4.69693
82.4494,17,4.715621
132.261886,27,4.746265
152.043944,31,4.780646
99.670057,20,4.80293
150.149692,34,4.846345
97.760811,20,4.869338
104.907819,21,4.892506
136.857573,27,4.923887
83.447881,17,4.940876
139.410113,29,4.972007
131.653305,26,5.003641
88.645065,18,5.022193
135.30667,30,5.056549
83.462438,17,5.074125
171.323591,34,5.114797
106.055304,21,5.136812
174.056548,35,5.17786
101.40329,21,5.201211
201.227143,40,5.249596
82.988496,17,5.26688
116.014962,24,5.293865
104.470524,21,5.321439
110.770435,22,5.347945
160.023015,34,5.386317
117.704042,24,5.41451
115.07177,24,5.439996
112.453069,23,5.465676
89.472347,18,5.484938
96.762226,20,5.506116
101.537817,21,5.52871
183.14272,38,5.574361
114.654713,23,5.59964
83.18953,17,5.617634
128.519057,26,5.646486
192.592236,40,5.697776
108.682239,22,5.72157
150.714037,29,5.757558
112.005428,23,5.782487
96.872617,20,5.80435
146.857596,30,5.838769
108.79551,25,5.865917
124.316938,25,5.895946
90.723878,18,5.914029
152.590289,33,5.952191
178.241066,36,5.995627
112.898121,23,6.020613
140.256301,30,6.055049
88.457644,18,6.074633
89.58387,18,6.094423
89.79319,18,6.113886
103.490273,24,6.140665
113.165213,26,6.170759
88.484068,18,6.189442
111.299121,22,6.21421
115.485996,23,6.241707
148.91819,32,6.277019
88.349008,18,6.296147
198.039548,43,6.350988
100.478421,20,6.372633
115.155545,23,6.397758
93.45732,19,6.418736
99.402527,20,6.440457
159.544325,33,6.478836
156.258228,34,6.52193
136.792507,28,6.553775
134.441419,29,6.585825
148.695011,29,6.618149
103.813737,21,6.641586
120.206193,24,6.669604
151.14778,30,6.703425
83.213226,17,6.724144
134.02895,27,6.75514
119.479543,24,6.780591
123.309899,25,6.808953
151.735877,30,6.842383
149.646632,31,6.877618
82.386889,17,6.896047
145.316809,30,6.931243
94.670553,19,6.952276
111.677045,22,6.97706
116.466734,23,7.003749
99.72821,20,7.025377
128.487137,25,7.055198
129.086573,27,7.086357
150.912674,31,7.125732
87.483401,18,7.145026
109.95282,22,7.170728
120.602044,24,7.199541
80.742069,17,7.21792
101.125152,20,7.239113
88.016528,18,7.258659
97.672321,20,7.281159
228.137113,48,7.343331
99.286925,20,7.366574
81.644754,17,7.386208
102.2341,22,7.414857
83.445973,17,7.431902
102.335183,21,7.455314
125.768944,25,7.482996
136.569993,27,7.514254
171.579881,34,7.55437
89.225109,18,7.574396
93.561166,19,7.59408
116.235967,24,7.622483
104.15624,21,7.647717
82.726668,17,7.666348
88.244471,18,7.686048
95.902803,20,7.708702
109.775299,22,7.733989
116.966316,24,7.762543
93.504257,19,7.783751
122.734279,25,7.81172
100.934268,21,7.834891
152.437164,30,7.871264
83.398763,17,7.88929
109.403777,22,7.913163
127.757294,27,7.94416
83.646714,17,7.963023
83.137556,17,7.981076
122.30181,25,8.009163
131.38524,26,8.038413
111.339541,23,8.063455
140.640885,28,8.098563
172.454368,33,8.138739
177.31002,35,8.184791
92.935694,19,8.209424
109.786179,22,8.23554
140.579221,29,8.266591
142.412281,28,8.299407
92.173195,19,8.32137
100.404437,20,8.34556
125.340503,25,8.374003
115.914879,23,8.399316
149.207632,30,8.434173
100.073687,20,8.45705
88.417308,18,8.475485
105.581331,21,8.499906
117.296088,23,8.526505
195.654609,40,8.57532
97.929199,20,8.59985
99.501792,20,8.622932
89.07499,18,8.642366
103.659875,21,8.666588
248.011351,49,8.724277
87.763597,18,8.742594
169.36287,35,8.783489
83.080254,17,8.800629
82.693788,17,8.818285
259.16986,49,8.87732
93.880918,19,8.898727
145.853307,30,8.933264
143.592363,30,8.966968
123.358226,25,8.996163
110.280061,22,9.023352
96.047383,19,9.044094
116.772586,24,9.070637
93.242721,19,9.092299
142.566977,29,9.126399
133.792573,27,9.15654
161.855286,34,9.198122
169.653625,37,9.239945
129.018086,27,9.300287
136.333453,30,9.331885
87.223928,18,9.350111
115.212048,23,9.375644
110.796387,23,9.400931
94.631032,19,9.420739
135.182601,27,9.454894
143.433767,30,9.489242
163.3789,33,9.531626
147.976926,31,9.565571
94.247215,19,9.586358
109.358695,22,9.609715
99.610588,20,9.631516
99.472562,20,9.658567
146.409274,31,9.694665
104.426754,21,9.718207
159.378974,34,9.758437
126.249773,27,9.78886
94.076209,19,9.810083
126.656709,26,9.838167
83.233428,17,9.856976
99.077801,20,9.879426
155.210686,32,9.914567
117.987794,26,9.945218
104.471327,21,9.969547
88.464783,18,9.988454
145.571945,30,10.025573
127.07768,26,10.055521
139.829591,29,10.088806
159.317501,32,10.12785
130.862219,27,10.16028
106.756157,22,10.186568
99.040424,20,10.209555
112.008274,22,10.234661
114.251189,23,10.260993
117.065768,24,10.289214
93.551821,19,10.310928
130.186084,26,10.341174
83.106395,17,10.360231
128.69401,27,10.390781
95.051153,19,10.411558
159.994966,32,10.449278
99.547987,20,10.473193
88.605649,18,10.494039
94.356282,19,10.514503
89.360239,18,10.533745
153.882762,32,10.570263
102.728242,21,10.596079
107.51647,22,10.623171
87.113442,18,10.641505
156.988817,34,10.680915
83.557229,17,10.698401
134.108801,28,10.731589
133.830658,28,10.764934
103.624327,22,10.789567
134.549694,27,10.823301
136.023902,28,10.854533
97.697129,20,10.876708
150.579045,30,10.912629
117.571245,24,10.940455
111.18118,22,10.966269
155.603462,33,11.004377
83.79594,17,11.023957
