#{"t_start": 1603760355.0256736, "env_id": "Humanoid-v2"}
r,l,t
83.516323,17,8.68408
105.15273,21,8.706928
88.103098,18,8.723827
83.44739,17,8.739874
179.977637,35,8.776036
161.046028,32,8.80959
118.396147,24,8.833515
145.610176,30,8.864505
88.251572,18,8.881572
135.400828,29,8.914854
108.059835,22,8.937839
114.850377,23,8.960783
99.255385,20,8.982973
218.871967,45,9.033648
94.450104,19,9.05303
113.216516,23,9.074579
88.446034,18,9.092619
160.227146,32,9.126964
103.361897,21,9.147947
115.285363,23,9.1721
151.967882,30,9.206692
127.302492,25,9.232193
87.594441,18,9.250624
93.8748,19,9.269
86.996442,18,9.287715
128.92766,27,9.314843
111.391945,22,9.337057
154.99423,31,9.369903
83.681359,17,9.386281
83.349392,17,9.403401
106.689719,21,9.423567
147.306426,32,9.456783
171.51861,34,9.497493
89.865157,18,9.514949
265.324018,55,9.575609
159.000349,33,9.611156
91.880513,19,9.63042
140.737674,28,9.662234
88.634883,18,9.679712
132.051951,27,9.707938
88.188612,18,9.726951
83.365314,17,9.746111
95.251817,19,9.764683
122.765063,25,9.789379
93.10507,19,9.808203
88.262413,18,9.826785
127.603012,28,9.862829
171.558705,35,9.900841
133.759753,27,9.927092
105.261399,21,9.948308
94.53696,19,9.965751
126.010275,26,9.993092
93.171278,20,10.016083
172.80201,36,10.054137
89.287712,18,10.070835
162.848556,32,10.107171
88.672457,18,10.125001
128.754913,26,10.153011
88.190849,18,10.170058
110.003338,22,10.193769
93.955428,19,10.212258
109.699377,22,10.235513
89.726697,18,10.252285
116.265592,24,10.281118
104.701596,21,10.303796
83.594623,17,10.318614
88.148211,18,10.335997
184.112107,37,10.375483
133.984959,27,10.406054
120.788941,24,10.434311
84.523664,17,10.451344
110.049982,22,10.472592
149.145985,30,10.503609
89.489404,18,10.521472
131.929755,26,10.549866
189.156836,39,10.593398
199.120031,40,10.642659
114.069416,23,10.665267
104.920645,21,10.685639
94.701023,19,10.70464
102.332858,21,10.727875
88.133692,18,10.744946
105.940661,23,10.771802
105.675161,21,10.79466
108.874013,22,10.816586
83.579516,17,10.833374
103.709267,21,10.854769
88.892654,18,10.871856
127.504329,26,10.899577
98.824052,20,10.920159
120.749279,24,10.947757
93.630733,19,10.967821
94.215724,19,10.986568
129.794866,26,11.011878
92.461871,19,11.030423
93.834834,19,11.050034
130.760368,26,11.076378
90.060403,18,11.092623
102.362217,21,11.114935
93.686677,19,11.136426
104.405891,21,11.158061
83.360625,17,11.176533
118.50448,24,11.199899
105.190437,21,11.221888
94.52009,19,11.241683
162.32773,32,11.275072
93.381087,19,11.295185
119.676799,24,11.3197
98.858933,20,11.340995
100.503521,20,11.361205
83.665484,17,11.377583
226.202367,49,11.428849
106.061221,21,11.449257
175.41992,38,11.488307
83.582274,17,11.504223
146.242666,29,11.534292
97.3867,20,11.556172
150.761822,30,11.587029
93.045633,19,11.606655
115.94394,23,11.628034
167.884074,34,11.664941
93.915283,19,11.684072
88.379326,18,11.702039
83.115859,17,11.718519
177.83034,35,11.756501
92.529074,19,11.776052
184.260555,39,11.817675
191.147921,37,11.860251
142.49303,30,11.889094
102.971344,23,11.91195
121.484009,24,11.936551
141.520149,30,11.967323
110.212067,22,11.989609
145.413912,32,12.025094
220.505667,44,12.071905
108.315601,22,12.09412
188.046551,40,12.138825
117.864124,24,12.164349
127.855108,27,12.190232
95.378356,19,12.208277
100.757367,20,12.227597
93.546403,19,12.246761
177.990492,37,12.284947
99.040226,20,12.304614
112.992522,23,12.328219
100.210696,22,12.350465
83.265042,17,12.365796
107.271193,22,12.388038
125.230476,26,12.414669
144.715914,30,12.445697
127.354995,25,12.470112
88.288919,18,12.487896
88.278415,18,12.505615
134.964941,30,13.441297
80.21665,17,13.738297
81.531477,17,14.044975
121.002781,26,14.495834
80.315341,17,14.788194
142.338228,29,15.319158
102.964176,21,15.678112
91.138082,19,16.009537
121.987162,26,16.466124
130.311963,26,16.915496
101.888317,21,17.184984
173.338031,34,17.627793
122.845461,26,17.953587
200.543073,40,18.468386
152.822818,31,18.867379
138.199254,28,19.232121
129.49264,27,19.623738
127.659343,26,20.076074
127.032824,26,20.529292
123.105038,25,20.957245
170.137607,35,21.566632
106.026047,21,21.928193
109.779397,22,22.324871
168.749577,35,22.924289
106.698377,23,23.326857
83.288986,17,23.630328
81.781273,17,23.920988
133.143555,26,24.384207
192.105444,38,25.042845
168.798274,35,25.691789
125.353142,26,26.125733
106.019111,22,26.514779
99.209104,20,26.854992
104.351712,22,27.246111
152.648112,31,27.779845
99.571058,20,28.127992
103.388526,21,28.489263
137.733526,28,28.98754
121.732109,24,29.393635
82.786145,17,29.694376
97.996377,20,30.034499
117.196747,24,30.452974
118.398434,24,30.878677
93.031,20,31.243053
83.691737,17,31.542852
93.751224,19,31.877917
108.046637,22,32.286026
89.197696,18,32.610439
125.626727,25,33.087872
88.871865,18,33.420213
190.176868,42,34.219257
129.336593,27,34.685832
95.252397,19,35.017339
88.254903,18,35.329179
87.842029,18,35.643188
133.626294,27,36.225288
94.281149,19,36.688013
88.463973,18,37.153298
144.046364,31,37.906306
94.701913,19,38.329896
119.550633,28,38.895435
95.445572,19,39.21391
83.268817,17,39.514302
101.660201,21,39.878666
93.804077,19,40.211309
88.580565,18,40.526951
108.494092,22,40.908254
119.308853,24,41.335535
83.338585,17,41.637189
83.460123,17,41.945767
81.241758,17,42.255659
82.8012,17,42.548721
92.508901,19,42.883101
100.403506,20,43.249585
78.698713,16,43.566978
83.054788,17,43.860095
82.990422,17,44.153166
83.591098,17,44.5729
83.165595,17,44.991194
88.524836,18,45.455461
83.176041,17,45.740012
105.192735,22,46.127343
89.133466,18,46.449136
78.480876,16,46.725865
83.571928,17,47.015181
100.67583,20,47.364865
82.840066,17,47.660307
78.03855,16,47.934491
