#{"t_start": 1602602584.477149, "env_id": "Walker2d-v2"}
r,l,t
5.865998,27,1.525422
-6.403169,16,1.532392
18.881106,35,1.546148
8.763441,25,1.556911
6.316051,23,1.56625
-4.139954,21,1.574072
3.849232,14,1.579463
0.903395,20,1.587687
-1.531129,17,1.594274
1.242811,14,1.599792
-3.746439,24,1.610432
1.131452,13,1.615237
5.268969,30,1.627412
-0.816758,32,1.639597
2.497585,24,1.648307
9.094145,25,1.659091
3.221918,14,1.664887
0.755519,15,1.671219
7.589519,19,1.678633
5.864168,24,1.688192
4.676533,28,1.699707
-1.370775,18,1.706711
-11.537763,26,1.716971
14.889715,28,1.728616
8.786022,30,1.740745
-1.697904,25,1.75006
8.782544,44,1.768532
-1.331076,11,1.773283
36.42862,57,1.796041
8.623764,31,1.808907
-0.598927,27,1.818936
3.153836,18,1.825955
-0.842755,11,1.830304
4.805157,17,1.837284
4.9785,20,1.845867
-0.908441,12,1.850247
-2.694243,13,1.855111
1.295414,32,1.868219
-2.540045,8,1.8713
0.060535,11,1.875763
9.451912,20,1.883291
7.265164,22,1.892508
-4.06472,24,1.901261
2.209368,17,1.908765
6.603077,32,1.921113
-4.109693,20,1.929523
1.100859,24,1.938627
8.379743,32,1.950516
-5.89541,43,1.967472
-2.514506,16,1.973631
-3.96904,20,1.981915
-1.718716,12,1.986685
2.236212,14,1.992995
7.591521,22,2.002178
0.075093,13,2.008717
3.201351,25,2.01864
6.793441,26,2.029611
0.717308,10,2.0338
3.607346,25,2.043
-2.420121,10,2.047351
-0.267662,10,2.051548
-1.698033,15,2.05786
-2.850471,8,2.061107
0.521824,15,2.06758
3.000106,14,2.073171
4.659889,19,2.080476
5.639946,25,2.090109
5.101151,30,2.101987
10.246085,33,2.115972
-2.228196,31,2.128064
4.926022,15,2.13383
5.434351,16,2.139996
1.075081,22,2.148967
-3.055219,14,2.154641
2.023805,32,2.168033
-6.001109,20,2.175508
0.945291,16,2.182307
3.271851,22,2.190935
6.449321,23,2.199397
-5.460697,15,2.205203
-0.549178,12,2.210688
-0.878393,10,2.214756
-2.165508,9,2.218463
4.933256,29,2.230297
-2.81902,19,2.238365
-0.121998,12,2.242832
