verbose,total_opt_steps,N_epoch,N_E_traj,add_history,learning_rate,random_demos,N_agg_iter,opt_seed,run_seed,linear,RL_expert_folder,partial_obs,H_dims,kill_feats,pair_E_s0,pi0_BC_init,density_ratio_feature_map,adversary_feature_map,N_test_E_traj,N_test_rollout,batch_size,reinit_opt,resume_BC,record_intermediate,NN_mid_as_feats,N_FAIL_samps,render,switch_2_E_after,RL_expert_exp_id,RL_expert_load_best,RL_expert_algo,T_max,loss_function,alg,env_id,N_E_samp,w_max,w_min,final,w_ESS,reward,reward_std,loss_test,loss_train,class_test,runtime
3,200000,10,1,False,0.0001,False,5,0.0,0,False,my_RL_experts,False,[512],,False,True,linear,poly 2,10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC,Hopper-v2,1000,1.0,1.0,False,1000.0,430.1089824005775,0.0,0.7569693326950073,0.284150630235672,0.7569693326950073,0.12418539921442667
3,400000,10,1,False,0.0001,False,5,0.0,0,False,my_RL_experts,False,[512],,False,True,linear,poly 2,10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC,Hopper-v2,1000,1.0,1.0,False,1000.0,896.3637553773137,0.0,0.8255987167358398,0.2125309854745865,0.8255987167358398,0.2490081151326497
3,600000,10,1,False,0.0001,False,5,0.0,0,False,my_RL_experts,False,[512],,False,True,linear,poly 2,10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC,Hopper-v2,1000,1.0,1.0,False,1000.0,472.5781288854062,0.0,0.900111973285675,0.18082435429096225,0.900111973285675,0.3749121944109599
3,800000,10,1,False,0.0001,False,5,0.0,0,False,my_RL_experts,False,[512],,False,True,linear,poly 2,10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC,Hopper-v2,1000,1.0,1.0,False,1000.0,308.96518866589804,0.0,0.9588590264320374,0.16132761538028714,0.9588590264320374,0.4985319773356121
3,1000000,10,1,False,0.0001,False,5,0.0,0,False,my_RL_experts,False,[512],,False,True,linear,poly 2,10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC,Hopper-v2,1000,1.0,1.0,True,1000.0,234.05080562307919,6.600284859836793,1.0087041854858398,0.14708185195922852,1.0087041854858398,0.6319989959398905
3,200000,10,1,True,0.0001,False,5,0.0,0,False,my_RL_experts,False,[512],,False,True,linear,poly 2,10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC+H,Hopper-v2,1000,1.0,1.0,False,1000.0,396.8115086050057,0.0,0.3896720409393311,0.16168129444122314,0.3896720409393311,0.12558305660883587
3,400000,10,1,True,0.0001,False,5,0.0,0,False,my_RL_experts,False,[512],,False,True,linear,poly 2,10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC+H,Hopper-v2,1000,1.0,1.0,False,1000.0,157.76558858458333,0.0,0.4347393810749054,0.133424773812294,0.4347393810749054,0.2503424127896627
3,600000,10,1,True,0.0001,False,5,0.0,0,False,my_RL_experts,False,[512],,False,True,linear,poly 2,10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC+H,Hopper-v2,1000,1.0,1.0,False,1000.0,410.72454494396965,0.0,0.4900294542312622,0.11609269678592682,0.4900294542312622,0.3750642379124959
3,800000,10,1,True,0.0001,False,5,0.0,0,False,my_RL_experts,False,[512],,False,True,linear,poly 2,10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC+H,Hopper-v2,1000,1.0,1.0,False,1000.0,219.45658483979162,0.0,0.5444033145904541,0.10324587672948836,0.5444033145904541,0.4994888782501221
3,1000000,10,1,True,0.0001,False,5,0.0,0,False,my_RL_experts,False,[512],,False,True,linear,poly 2,10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC+H,Hopper-v2,1000,1.0,1.0,True,1000.0,234.0116878972236,4.770573587988238,0.5939139723777771,0.09313227236270903,0.5939139723777771,0.6340291221936544
0,500000,5,1,False,0.01,False,1,,0,False,my_RL_experts,False,[64],,False,True,linear,poly 2,10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,Random,Hopper-v2,1000,1.0,1.0,True,1000.0,46.080673614413605,1.5175170742161987,2.011095762252808,2.0167195796966557,2.0311288833618164,0.0018324573834737144
3,1000000,10,5,False,0.0001,False,5,0.0,0,False,my_RL_experts,False,[512],,False,True,linear,poly 2,10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC,Hopper-v2,5000,1.0,1.0,False,5000.0,274.76975637528506,74.09468713395138,1.0264915227890017,0.18798808753490448,1.0264915227890017,0.6055544972419739
3,2000000,10,5,False,0.0001,False,5,0.0,0,False,my_RL_experts,False,[512],,False,True,linear,poly 2,10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC,Hopper-v2,5000,1.0,1.0,False,5000.0,295.4317114472075,4.685981517785949,1.199654221534729,0.1527598351240158,1.199654221534729,1.211524526278178
3,3000000,10,5,False,0.0001,False,5,0.0,0,False,my_RL_experts,False,[512],,False,True,linear,poly 2,10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC,Hopper-v2,5000,1.0,1.0,False,5000.0,289.96330126032916,4.237791478648491,1.3071200847625732,0.13464424014091492,1.3071200847625732,1.8177272121111552
3,4000000,10,5,False,0.0001,False,5,0.0,0,False,my_RL_experts,False,[512],,False,True,linear,poly 2,10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC,Hopper-v2,5000,1.0,1.0,False,5000.0,290.8825922571233,7.02362128666546,1.3927563428878784,0.12205063551664352,1.3927563428878784,2.4253660917282103
3,5000000,10,5,False,0.0001,False,5,0.0,0,False,my_RL_experts,False,[512],,False,True,linear,poly 2,10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC,Hopper-v2,5000,1.0,1.0,True,5000.0,294.7680718365198,13.551588039709525,1.4660767316818235,0.11242807656526567,1.4660767316818235,3.0408238013585414
