verbose,total_opt_steps,N_epoch,N_E_traj,add_history,learning_rate,random_demos,results_path,N_agg_iter,opt_seed,run_seed,linear,RL_expert_folder,partial_obs,H_dims,kill_feats,pair_E_s0,density_ratio_feature_map,adversary_feature_map,N_test_E_traj,N_test_rollout,batch_size,reinit_opt,record_intermediate,NN_mid_as_feats,N_FAIL_samps,render,render_final,switch_2_E_after,RL_expert_exp_id,RL_expert_load_best,RL_expert_algo,T_max,loss_function,alg,env_id,N_E_samp,w_max,w_min,final,w_ESS,reward,reward_std,loss_test,loss_train,class_test,runtime,best_ind
3,4000000,10,1,False,0.003,False,results/results-Hopper-v2--exp2.csv,5,0,0,False,my_RL_experts,False,"[512, 256]",,False,,,10,10,128,False,True,,,False,False,,0,True,,,mse,BC,Hopper-v2,1000,1.0,1.0,False,1000.0,427.6564989268801,0.0,0.17947109043598175,0.0019818213768303394,0.17947109043598175,5.282459751764933,0
3,8000000,10,1,False,0.003,False,results/results-Hopper-v2--exp2.csv,5,0,0,False,my_RL_experts,False,"[512, 256]",,False,,,10,10,128,False,True,,,False,False,,0,True,,,mse,BC,Hopper-v2,1000,1.0,1.0,False,1000.0,304.72441474021736,0.0,0.18452996015548706,0.008012141101062298,0.18452996015548706,10.575733343760172,1
3,12000000,10,1,False,0.003,False,results/results-Hopper-v2--exp2.csv,5,0,0,False,my_RL_experts,False,"[512, 256]",,False,,,10,10,128,False,True,,,False,False,,0,True,,,mse,BC,Hopper-v2,1000,1.0,1.0,False,1000.0,828.4912188628642,0.0,0.18154887855052948,0.00017356050375383347,0.18154887855052948,15.157551316420234,2
3,16000000,10,1,False,0.003,False,results/results-Hopper-v2--exp2.csv,5,0,0,False,my_RL_experts,False,"[512, 256]",,False,,,10,10,128,False,True,,,False,False,,0,True,,,mse,BC,Hopper-v2,1000,1.0,1.0,False,1000.0,389.47876502834214,0.0,0.18549926578998568,0.0002854707126971334,0.18549926578998568,19.748444279034928,3
3,20000000,10,1,False,0.003,False,results/results-Hopper-v2--exp2.csv,5,0,0,False,my_RL_experts,False,"[512, 256]",,False,,,10,10,128,False,True,,,False,False,,0,True,,,mse,BC,Hopper-v2,1000,1.0,1.0,True,1000.0,277.2276363539619,83.48467654758895,0.18960116803646088,0.00014962982095312333,0.18960116803646088,24.434436714649202,4
3,4000000,10,1,False,0.003,False,results/results-Hopper-v2--exp2.csv,5,0,0,False,my_RL_experts,False,"[512, 256]",,False,,,10,10,128,False,True,,,False,False,,0,True,,,mse,BC,Hopper-v2,1000,1.0,1.0,False,1000.0,427.6564989268801,0.0,0.17947109043598175,0.0019818213768303394,0.17947109043598175,4.361479298273722,0
3,8000000,10,1,False,0.003,False,results/results-Hopper-v2--exp2.csv,5,0,0,False,my_RL_experts,False,"[512, 256]",,False,,,10,10,128,False,True,,,False,False,,0,True,,,mse,BC,Hopper-v2,1000,1.0,1.0,False,1000.0,304.72441474021736,0.0,0.18452996015548706,0.008012141101062298,0.18452996015548706,8.850949005285901,1
3,12000000,10,1,False,0.003,False,results/results-Hopper-v2--exp2.csv,5,0,0,False,my_RL_experts,False,"[512, 256]",,False,,,10,10,128,False,True,,,False,False,,0,True,,,mse,BC,Hopper-v2,1000,1.0,1.0,False,1000.0,828.4912188628642,0.0,0.18154887855052948,0.00017356050375383347,0.18154887855052948,13.415790776411693,2
3,16000000,10,1,False,0.003,False,results/results-Hopper-v2--exp2.csv,5,0,0,False,my_RL_experts,False,"[512, 256]",,False,,,10,10,128,False,True,,,False,False,,0,True,,,mse,BC,Hopper-v2,1000,1.0,1.0,False,1000.0,389.4787650283421,0.0,0.18549926578998568,0.0002854707126971334,0.18549926578998568,18.296060709158574,3
3,20000000,10,1,False,0.003,False,results/results-Hopper-v2--exp2.csv,5,0,0,False,my_RL_experts,False,"[512, 256]",,False,,,10,10,128,False,True,,,False,False,,0,True,,,mse,BC,Hopper-v2,1000,1.0,1.0,True,1000.0,277.2276363539619,83.48467654758895,0.18960116803646088,0.00014962982095312333,0.18960116803646088,23.13697267770767,4
3,4000000,10,5,False,0.003,False,results/results-Hopper-v2--exp2.csv,5,0,0,False,my_RL_experts,False,"[512, 256]",,False,,,10,10,128,False,True,,,False,False,,0,True,,,mse,BC,Hopper-v2,5000,1.0,1.0,False,5000.0,328.1817820959353,0.8668338743723067,0.06879731267690659,0.01322458777576685,0.06879731267690659,5.10062530040741,0
3,8000000,10,5,False,0.003,False,results/results-Hopper-v2--exp2.csv,5,0,0,False,my_RL_experts,False,"[512, 256]",,False,,,10,10,128,False,True,,,False,False,,0,True,,,mse,BC,Hopper-v2,5000,1.0,1.0,False,5000.0,554.5971989726432,78.991502952372,0.06662019342184068,0.008301840163767338,0.06662019342184068,10.190276443958284,1
3,12000000,10,5,False,0.003,False,results/results-Hopper-v2--exp2.csv,5,0,0,False,my_RL_experts,False,"[512, 256]",,False,,,10,10,128,False,True,,,False,False,,0,True,,,mse,BC,Hopper-v2,5000,1.0,1.0,False,5000.0,759.9888580164743,85.64330974408253,0.0732685923576355,0.016769226640462875,0.0732685923576355,14.99340615272522,2
3,16000000,10,5,False,0.003,False,results/results-Hopper-v2--exp2.csv,5,0,0,False,my_RL_experts,False,"[512, 256]",,False,,,10,10,128,False,True,,,False,False,,0,True,,,mse,BC,Hopper-v2,5000,1.0,1.0,False,5000.0,390.9686965562199,107.80949183764534,0.06559382379055023,0.006429783534258604,0.06559382379055023,19.86109364827474,3
3,20000000,10,5,False,0.003,False,results/results-Hopper-v2--exp2.csv,5,0,0,False,my_RL_experts,False,"[512, 256]",,False,,,10,10,128,False,True,,,False,False,,0,True,,,mse,BC,Hopper-v2,5000,1.0,1.0,True,5000.0,1524.4020500912598,296.7333492455882,0.06536903977394104,0.005854729097336532,0.06536903977394104,24.69210386276245,4
3,4000000,10,5,False,0.003,False,results/results-Hopper-v2--exp2.csv,5,0,0,False,my_RL_experts,False,"[512, 256]",,False,,,10,10,128,False,True,,,False,False,,0,True,,,mse,BC,Hopper-v2,5000,1.0,1.0,False,5000.0,328.1817820959353,0.8668338743723067,0.06879731267690659,0.01322458777576685,0.06879731267690659,4.783443864186605,0
3,8000000,10,5,False,0.003,False,results/results-Hopper-v2--exp2.csv,5,0,0,False,my_RL_experts,False,"[512, 256]",,False,,,10,10,128,False,True,,,False,False,,0,True,,,mse,BC,Hopper-v2,5000,1.0,1.0,False,5000.0,554.5971989726432,78.991502952372,0.06662019342184068,0.008301840163767338,0.06662019342184068,9.863242177168528,1
