verbose,total_opt_steps,N_epoch,N_E_traj,add_history,N_agg_iter,random_demos,RL_expert_folder,RL_expert_load_best,learning_rate,H_dims,loss_function,partial_obs,results_path,render_final,kill_feats,pair_E_s0,run_seed,opt_seed,density_ratio_feature_map,adversary_feature_map,linear,N_test_E_traj,N_test_rollout,batch_size,reinit_opt,record_intermediate,NN_mid_as_feats,N_FAIL_samps,render,switch_2_E_after,RL_expert_exp_id,RL_expert_algo,T_max,alg,env_id,N_E_samp,w_max,w_min,w_ESS,reward,reward_std,loss_test,loss_train,final,class_test,runtime,best_ind,model_reg_coeff
4,8000000,10,25,True,10,False,my_RL_experts,True,0.003,[512],L2,False,results/results-HalfCheetah-v2--exp1.csv,False,,False,,,linear,,False,50,50,128,False,False,,,False,,2,,,ALICE-Cov+H,HalfCheetah-v2,25000,2.8267241767,0.6187024131000001,24332.623744291093,3951.6170378417,174.27440390639995,0.2377348244,0.2160026431,False,0.2377348244,11.532721849300001,7,
4,9000000,10,25,True,10,False,my_RL_experts,True,0.003,[512],L2,False,results/results-HalfCheetah-v2--exp1.csv,False,,False,,,linear,,False,50,50,128,False,False,,,False,,2,,,ALICE-Cov+H,HalfCheetah-v2,25000,2.6890271142,0.6136889813,24325.275593566294,4030.7491802814,95.5009487918,0.2476006299,0.2250925153,False,0.2476006299,12.9529065649,8,
4,10000000,10,25,True,10,False,my_RL_experts,True,0.003,[512],L2,False,results/results-HalfCheetah-v2--exp1.csv,False,,False,,,linear,,False,50,50,128,False,False,,,False,,2,,,ALICE-Cov+H,HalfCheetah-v2,25000,2.5952147418,0.6079778093,24311.3683609905,3968.1714233794,130.70580199329999,0.2292941958,0.205750972,True,0.2292941958,14.7212245822,9,
4,10000000,10,18,False,1,False,my_RL_experts,True,0.003,[512],L2,False,results/results-HalfCheetah-v2--exp1.csv,False,,False,,,,,False,50,50,128,False,True,,,False,,2,,,BC,HalfCheetah-v2,18000,1.0,1.0,18000.000000000004,3906.2326640557417,493.84473426276185,0.2429527938365937,0.2114402651786804,True,0.2429527938365937,8.494790907700857,0,
4,1000000,10,18,False,10,False,my_RL_experts,True,0.003,[512],L2,False,results/results-HalfCheetah-v2--exp1.csv,False,,False,,,linear,,False,50,50,128,False,False,,,False,,1,,,ALICE-Cov,HalfCheetah-v2,18000,1.0,1.0,18000.000000000004,-346.9485433446721,200.46926014230056,0.3330916464328766,0.3187054693698883,False,0.3330916464328766,1.0727601289749145,0,
4,2000000,10,18,False,10,False,my_RL_experts,True,0.003,[512],L2,False,results/results-HalfCheetah-v2--exp1.csv,False,,False,,,linear,,False,50,50,128,False,False,,,False,,1,,,ALICE-Cov,HalfCheetah-v2,18000,9.170404748706416,0.5001474738690622,13840.773754843909,2051.239621907811,1493.2179447610422,0.3341672122478485,0.18554934859275807,False,0.3341672122478485,2.118663509686788,1,
4,3000000,10,18,False,10,False,my_RL_experts,True,0.003,[512],L2,False,results/results-HalfCheetah-v2--exp1.csv,False,,False,,,linear,,False,50,50,128,False,False,,,False,,1,,,ALICE-Cov,HalfCheetah-v2,18000,56.80912488069826,0.3362844212297939,1141.7778278529895,285.568967571089,1294.9406777385311,0.4146987795829773,0.2991890609264374,False,0.4146987795829773,3.1517142256100974,2,
4,4000000,10,18,False,10,False,my_RL_experts,True,0.003,[512],L2,False,results/results-HalfCheetah-v2--exp1.csv,False,,False,,,linear,,False,50,50,128,False,False,,,False,,1,,,ALICE-Cov,HalfCheetah-v2,18000,74.61075356509107,0.2538574967469235,674.7047432962582,-414.58934653117484,120.95333879258757,0.4516010284423828,0.3164640665054321,False,0.4516010284423828,4.214955266316732,3,
4,5000000,10,18,False,10,False,my_RL_experts,True,0.003,[512],L2,False,results/results-HalfCheetah-v2--exp1.csv,False,,False,,,linear,,False,50,50,128,False,False,,,False,,1,,,ALICE-Cov,HalfCheetah-v2,18000,83.50256708962647,0.2040756833770329,560.3703244338313,-413.2172743067504,372.9756443091784,0.4320134520530701,0.2959953248500824,False,0.4320134520530701,5.2738992770512905,4,
4,6000000,10,18,False,10,False,my_RL_experts,True,0.003,[512],L2,False,results/results-HalfCheetah-v2--exp1.csv,False,,False,,,linear,,False,50,50,128,False,False,,,False,,1,,,ALICE-Cov,HalfCheetah-v2,18000,88.18047900703401,0.17077055258822724,506.71011757282236,-466.24349191353394,69.72442387279965,0.4581702053546906,0.2775691151618957,False,0.4581702053546906,6.333729457855225,5,
