verbose,total_opt_steps,N_epoch,N_E_traj,add_history,N_agg_iter,opt_seed,run_seed,linear,RL_expert_folder,kill_feats,pair_E_s0,pi0_BC_init,density_ratio_feature_map,adversary_feature_map,learning_rate,H_dims,N_test_E_traj,N_test_rollout,batch_size,reinit_opt,resume_BC,record_intermediate,NN_mid_as_feats,N_FAIL_samps,render,switch_2_E_after,random_demos,RL_expert_exp_id,RL_expert_load_best,RL_expert_algo,N_E_samp,loss_train,loss_test,reward,runtime,alg,env_id,class_test,w_max,w_min,w_ESS,final
0,500000,5,1,False,5,,,False,my_RL_experts,,False,True,linear,poly 2,0.01,[64],10.0,1.0,128.0,False,False,True,False,1.0,False,10000000000.0,False,0.0,False,,1645.0,1.7852296829223633,1.7846802473068235,21.0,0.10007267793019613,Expert,PongNoFrameskip-v4,0.0,1.0,1.0,1645.0000000000002,True
0,500000,5,1,False,5,,,False,my_RL_experts,,False,True,linear,poly 2,0.01,[64],10.0,1.0,128.0,False,False,True,False,1.0,False,10000000000.0,False,0.0,False,,1645.0,1.824799656867981,1.8246721029281616,-19.0,0.025775973002115884,Random,PongNoFrameskip-v4,0.8318815827369691,1.0,1.0,1645.0000000000002,True
0,500000,5,6,False,5,,,False,my_RL_experts,,False,True,linear,poly 2,0.01,[64],10.0,1.0,128.0,False,False,True,False,1.0,False,10000000000.0,False,0.0,False,,9855.0,1.7850016355514526,1.7846802473068235,21.0,0.09523923794428507,Expert,PongNoFrameskip-v4,0.0,1.0,1.0,9855.0,True
0,500000,5,6,False,5,,,False,my_RL_experts,,False,True,linear,poly 2,0.01,[64],10.0,1.0,128.0,False,False,True,False,1.0,False,10000000000.0,False,0.0,False,,9855.0,1.823182821273804,1.8249242305755613,-19.0,0.02556933561960856,Random,PongNoFrameskip-v4,0.8341353535652161,1.0,1.0,9855.0,True
0,500000,5,10,False,5,,,False,my_RL_experts,,False,True,linear,poly 2,0.01,[64],10.0,1.0,128.0,False,False,True,False,1.0,False,10000000000.0,False,0.0,False,,16428.0,1.7849758863449097,1.7846802473068235,21.0,0.10441826979319256,Expert,PongNoFrameskip-v4,0.0,1.0,1.0,16427.999999999996,True
0,500000,5,10,False,5,,,False,my_RL_experts,,False,True,linear,poly 2,0.01,[64],10.0,1.0,128.0,False,False,True,False,1.0,False,10000000000.0,False,0.0,False,,16428.0,1.8233051300048828,1.829217791557312,-20.0,0.02521336476008097,Random,PongNoFrameskip-v4,0.8339526057243347,1.0,1.0,16427.999999999996,True
0,500000,5,125,False,5,,,False,my_RL_experts,,False,True,linear,poly 2,0.01,[64],10.0,1.0,128.0,False,False,True,False,1.0,False,10000000000.0,False,0.0,False,,205290.0,1.7847007513046265,1.7846802473068235,21.0,0.18507123390833533,Expert,PongNoFrameskip-v4,0.0,1.0,1.0,205290.0,True
0,500000,5,125,False,5,,,False,my_RL_experts,,False,True,linear,poly 2,0.01,[64],10.0,1.0,128.0,False,False,True,False,1.0,False,10000000000.0,False,0.0,False,,205290.0,1.825771927833557,1.8234622478485107,-21.0,0.03715842962265015,Random,PongNoFrameskip-v4,0.8319424986839294,1.0,1.0,205290.0,True
0,600000,10,1,False,5,0.0,0.0,False,my_RL_experts,,False,True,linear,poly 2,0.0003,[64],10.0,10.0,128.0,False,False,True,False,1.0,False,10000000000.0,False,0.0,False,,1640.0,0.060199324041605,0.6793198585510254,-19.0,0.9752077341079712,BC,PongNoFrameskip-v4,0.12406404316425325,1.0,1.0,1640.0,False
0,1200000,10,1,False,5,0.0,0.0,False,my_RL_experts,,False,True,linear,poly 2,0.0003,[64],10.0,10.0,128.0,False,False,True,False,1.0,False,10000000000.0,False,0.0,False,,1640.0,0.005519915837794542,0.9429938197135924,-19.0,1.916043142477672,BC,PongNoFrameskip-v4,0.11450660228729248,1.0,1.0,1640.0,False
0,1800000,10,1,False,5,0.0,0.0,False,my_RL_experts,,False,True,linear,poly 2,0.0003,[64],10.0,10.0,128.0,False,False,True,False,1.0,False,10000000000.0,False,0.0,False,,1640.0,0.002125170547515154,1.1901264190673828,-21.0,2.8487126111984247,BC,PongNoFrameskip-v4,0.11115846037864684,1.0,1.0,1640.0,False
0,2400000,10,1,False,5,0.0,0.0,False,my_RL_experts,,False,True,linear,poly 2,0.0003,[64],10.0,10.0,128.0,False,False,True,False,1.0,False,10000000000.0,False,0.0,False,,1640.0,0.0022355993278324604,1.0272228717803955,-21.0,3.7968782504399616,BC,PongNoFrameskip-v4,0.1101844534277916,1.0,1.0,1640.0,False
0,3000000,10,1,False,5,0.0,0.0,False,my_RL_experts,,False,True,linear,poly 2,0.0003,[64],10.0,10.0,128.0,False,False,True,False,1.0,False,10000000000.0,False,0.0,False,,1640.0,0.0017743497155606747,1.259839653968811,-8.4,5.334474205970763,BC,PongNoFrameskip-v4,0.11067145317792892,1.0,1.0,1640.0,True
0,600000,10,6,False,5,0.0,0.0,False,my_RL_experts,,False,True,linear,poly 2,0.0003,[64],10.0,10.0,128.0,False,False,True,False,1.0,False,10000000000.0,False,0.0,False,,9859.0,0.15214598178863525,0.17347562313079834,21.0,1.4895053863525392,BC,PongNoFrameskip-v4,0.06264077126979828,1.0,1.0,9859.0,False
0,1200000,10,6,False,5,0.0,0.0,False,my_RL_experts,,False,True,linear,poly 2,0.0003,[64],10.0,10.0,128.0,False,False,True,False,1.0,False,10000000000.0,False,0.0,False,,9859.0,0.08006976544857025,0.09374073892831802,21.0,2.9766715566317234,BC,PongNoFrameskip-v4,0.03457722067832947,1.0,1.0,9859.0,False
0,1800000,10,6,False,5,0.0,0.0,False,my_RL_experts,,False,True,linear,poly 2,0.0003,[64],10.0,10.0,128.0,False,False,True,False,1.0,False,10000000000.0,False,0.0,False,,9859.0,0.04286053031682968,0.05612321943044663,21.0,4.468431806564331,BC,PongNoFrameskip-v4,0.019053995609283447,1.0,1.0,9859.0,False
0,2400000,10,6,False,5,0.0,0.0,False,my_RL_experts,,False,True,linear,poly 2,0.0003,[64],10.0,10.0,128.0,False,False,True,False,1.0,False,10000000000.0,False,0.0,False,,9859.0,0.033653035759925835,0.045286133885383606,21.0,5.968868136405945,BC,PongNoFrameskip-v4,0.013757837936282158,1.0,1.0,9859.0,False
0,3000000,10,6,False,5,0.0,0.0,False,my_RL_experts,,False,True,linear,poly 2,0.0003,[64],10.0,10.0,128.0,False,False,True,False,1.0,False,10000000000.0,False,0.0,False,,9859.0,0.0258166678249836,0.035009495913982384,21.0,7.861993487675985,BC,PongNoFrameskip-v4,0.011201071552932262,1.0,1.0,9859.0,True
0,600000,10,10,False,5,0.0,0.0,False,my_RL_experts,,False,True,linear,poly 2,0.0003,[64],10.0,10.0,128.0,False,False,True,False,1.0,False,10000000000.0,False,0.0,False,,16434.0,0.15845908224582672,0.1912599802017212,1.9,1.9922386765480042,BC,PongNoFrameskip-v4,0.07311134040355682,1.0,1.0,16433.999999999996,False
0,1200000,10,10,False,5,0.0,0.0,False,my_RL_experts,,False,True,linear,poly 2,0.0003,[64],10.0,10.0,128.0,False,False,True,False,1.0,False,10000000000.0,False,0.0,False,,16434.0,0.06583616137504578,0.09087075293064116,21.0,3.883845063050588,BC,PongNoFrameskip-v4,0.030742071568965912,1.0,1.0,16433.999999999996,False
0,1800000,10,10,False,5,0.0,0.0,False,my_RL_experts,,False,True,linear,poly 2,0.0003,[64],10.0,10.0,128.0,False,False,True,False,1.0,False,10000000000.0,False,0.0,False,,16434.0,0.04373699426651001,0.061165023595094674,21.0,5.770020484924316,BC,PongNoFrameskip-v4,0.021793389692902558,1.0,1.0,16433.999999999996,False
