verbose,total_opt_steps,N_epoch,N_E_traj,add_history,learning_rate,random_demos,density_ratio_feature_map,N_agg_iter,opt_seed,run_seed,linear,RL_expert_folder,partial_obs,results_path,kill_feats,pair_E_s0,adversary_feature_map,H_dims,N_test_E_traj,N_test_rollout,batch_size,reinit_opt,record_intermediate,NN_mid_as_feats,N_FAIL_samps,render,render_final,switch_2_E_after,RL_expert_exp_id,RL_expert_load_best,RL_expert_algo,T_max,loss_function,alg,env_id,N_E_samp,w_max,w_min,final,w_ESS,reward,reward_std,loss_test,loss_train,class_test,runtime,best_ind
0,200000,10,1,False,0.03,False,linear,20,0,0,False,my_RL_experts,False,results/results-MountainCar-v0--exp1.csv,[0],False,,[512],10,10,128,False,False,,,False,False,,0,True,,,,ALICE-Cov-PO0,MountainCar-v0,106,1.0,1.0,False,106.0,-115.0,0.0,0.2348652482032776,0.1675187647342682,0.07980769127607346,0.1404393752415975,0
0,400000,10,1,False,0.03,False,linear,20,0,0,False,my_RL_experts,False,results/results-MountainCar-v0--exp1.csv,[0],False,,[512],10,10,128,False,False,,,False,False,,0,True,,,,ALICE-Cov-PO0,MountainCar-v0,106,1.000323397423725,0.9997250328324248,False,105.99999601010596,-115.0,0.0,0.29875847697258,0.15617573261260986,0.08461538702249527,0.2858281413714091,1
0,600000,10,1,False,0.03,False,linear,20,0,0,False,my_RL_experts,False,results/results-MountainCar-v0--exp1.csv,[0],False,,[512],10,10,128,False,False,,,False,False,,0,True,,,,ALICE-Cov-PO0,MountainCar-v0,106,1.0004939313436276,0.9995795690641506,False,105.99999068320707,-115.0,0.0,0.4262522757053375,0.15052974224090576,0.08269231021404266,0.4300156037012736,2
0,800000,10,1,False,0.03,False,linear,20,0,0,False,my_RL_experts,False,results/results-MountainCar-v0--exp1.csv,[0],False,,[512],10,10,128,False,False,,,False,False,,0,True,,,,ALICE-Cov-PO0,MountainCar-v0,106,1.0006028692427185,0.9994882819114046,False,105.99998615613235,-115.0,0.0,0.4994490444660187,0.14776669442653656,0.08461538702249527,0.5805710196495056,3
0,1000000,10,1,False,0.03,False,linear,20,0,0,False,my_RL_experts,False,results/results-MountainCar-v0--exp1.csv,[0],False,,[512],10,10,128,False,False,,,False,False,,0,True,,,,ALICE-Cov-PO0,MountainCar-v0,106,1.0006776114982392,0.9994242130768056,False,105.99998249315924,-115.0,0.0,0.5232969522476196,0.15700063109397888,0.08749999850988388,0.7353993455568949,4
0,1200000,10,1,False,0.03,False,linear,20,0,0,False,my_RL_experts,False,results/results-MountainCar-v0--exp1.csv,[0],False,,[512],10,10,128,False,False,,,False,False,,0,True,,,,ALICE-Cov-PO0,MountainCar-v0,106,1.0007339221047034,0.9993769271208499,False,105.99997947960509,-115.0,0.0,0.5085013508796692,0.15792438387870789,0.0932692289352417,0.8881253918011983,5
0,1400000,10,1,False,0.03,False,linear,20,0,0,False,my_RL_experts,False,results/results-MountainCar-v0--exp1.csv,[0],False,,[512],10,10,128,False,False,,,False,False,,0,True,,,,ALICE-Cov-PO0,MountainCar-v0,106,1.000785533155676,0.999333630938916,False,105.99997650888253,-115.0,0.0,0.6365721821784973,0.15344704687595367,0.07980769127607346,1.043890905380249,6
0,1600000,10,1,False,0.03,False,linear,20,0,0,False,my_RL_experts,False,results/results-MountainCar-v0--exp1.csv,[0],False,,[512],10,10,128,False,False,,,False,False,,0,True,,,,ALICE-Cov-PO0,MountainCar-v0,106,1.000821493242816,0.999302750376866,False,105.99997429618469,-114.0,0.0,0.6607934832572937,0.15335576236248016,0.07596153765916824,1.1945268313090007,7
0,1800000,10,1,False,0.03,False,linear,20,0,0,False,my_RL_experts,False,results/results-MountainCar-v0--exp1.csv,[0],False,,[512],10,10,128,False,False,,,False,False,,0,True,,,,ALICE-Cov-PO0,MountainCar-v0,106,1.000857995054294,0.999271153470448,False,105.9999719394303,-115.0,0.0,0.6771787405014038,0.1486908495426178,0.08076923340559006,1.341534435749054,8
0,2000000,10,1,False,0.03,False,linear,20,0,0,False,my_RL_experts,False,results/results-MountainCar-v0--exp1.csv,[0],False,,[512],10,10,128,False,False,,,False,False,,0,True,,,,ALICE-Cov-PO0,MountainCar-v0,106,1.0008648485945504,0.9992650932327672,False,105.999971480846,-114.0,0.0,0.6595955491065979,0.1472565233707428,0.08365384489297867,1.4939270575841268,9
