verbose,total_opt_steps,N_epoch,N_E_traj,add_history,learning_rate,random_demos,N_agg_iter,opt_seed,run_seed,linear,RL_expert_folder,partial_obs,H_dims,kill_feats,pair_E_s0,pi0_BC_init,density_ratio_feature_map,adversary_feature_map,N_test_E_traj,N_test_rollout,batch_size,reinit_opt,resume_BC,record_intermediate,NN_mid_as_feats,N_FAIL_samps,render,switch_2_E_after,RL_expert_exp_id,RL_expert_load_best,RL_expert_algo,T_max,loss_function,alg,env_id,N_E_samp,w_max,w_min,final,w_ESS,reward,reward_std,loss_test,loss_train,class_test,runtime
3,10000000,10,5,False,0.0003,False,5,0.0,0,False,my_RL_experts,False,"[512, 128, 32]",,False,True,linear,poly 2,10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC,Hopper-v2,5000,1.0,1.0,True,5000.0,368.1924377849558,177.42353884107425,1.877594828605652,0.016604967415332794,1.877594828605652,11.255639445781707
3,2000000,10,5,True,0.0003,False,5,0.0,0,False,my_RL_experts,False,"[512, 128, 32]",,False,True,linear,poly 2,10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC+H,Hopper-v2,5000,1.0,1.0,False,5000.0,858.1213306819092,348.82609496266036,1.235577940940857,0.02636637911200524,1.235577940940857,2.3077308535575867
3,4000000,10,5,True,0.0003,False,5,0.0,0,False,my_RL_experts,False,"[512, 128, 32]",,False,True,linear,poly 2,10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC+H,Hopper-v2,5000,1.0,1.0,False,5000.0,1159.2816623382566,332.90406134146036,1.3515220880508425,0.015208294615149496,1.3515220880508425,4.629757046699523
3,6000000,10,5,True,0.0003,False,5,0.0,0,False,my_RL_experts,False,"[512, 128, 32]",,False,True,linear,poly 2,10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC+H,Hopper-v2,5000,1.0,1.0,False,5000.0,817.6015564383493,173.3030754683469,1.4005755186080933,0.011254109442234041,1.4005755186080933,6.775608615080516
3,8000000,10,5,True,0.0003,False,5,0.0,0,False,my_RL_experts,False,"[512, 128, 32]",,False,True,linear,poly 2,10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC+H,Hopper-v2,5000,1.0,1.0,False,5000.0,516.2688703463089,298.34749515069666,1.3782918453216553,0.013541324064135551,1.3782918453216553,8.836158740520476
3,10000000,10,5,True,0.0003,False,5,0.0,0,False,my_RL_experts,False,"[512, 128, 32]",,False,True,linear,poly 2,10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC+H,Hopper-v2,5000,1.0,1.0,True,5000.0,316.82023891422176,161.6583065248816,1.3097434043884275,0.013043939135968685,1.3097434043884275,11.142817131678264
0,500000,5,5,False,0.01,False,1,,0,False,my_RL_experts,False,[64],,False,True,linear,poly 2,10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,Random,Hopper-v2,5000,1.0,1.0,True,5000.0,46.323628861386716,1.6969147690757225,2.0239427089691158,2.0064985752105717,2.0133411884307857,0.0022219141324361165
3,2000000,10,20,False,0.0003,False,5,0.0,0,False,my_RL_experts,False,"[512, 128, 32]",,False,True,linear,poly 2,10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC,Hopper-v2,15585,1.0,1.0,False,15585.0,266.25609706549966,1.1894315828823874,0.15597616136074066,0.08960449695587157,0.15597616136074066,2.313091027736664
3,4000000,10,20,False,0.0003,False,5,0.0,0,False,my_RL_experts,False,"[512, 128, 32]",,False,True,linear,poly 2,10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC,Hopper-v2,15585,1.0,1.0,False,15585.0,287.78057589658954,17.979289494520238,0.1289139986038208,0.060432597994804375,0.1289139986038208,4.64021452665329
3,6000000,10,20,False,0.0003,False,5,0.0,0,False,my_RL_experts,False,"[512, 128, 32]",,False,True,linear,poly 2,10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC,Hopper-v2,15585,1.0,1.0,False,15585.0,269.76199205091547,15.797190930888569,0.12155979126691815,0.046077687293291085,0.12155979126691815,6.957927695910136
3,8000000,10,20,False,0.0003,False,5,0.0,0,False,my_RL_experts,False,"[512, 128, 32]",,False,True,linear,poly 2,10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC,Hopper-v2,15585,1.0,1.0,False,15585.0,1260.721633918501,253.2393220660674,0.11646240949630735,0.037560094147920615,0.11646240949630735,9.452642865975696
3,10000000,10,20,False,0.0003,False,5,0.0,0,False,my_RL_experts,False,"[512, 128, 32]",,False,True,linear,poly 2,10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC,Hopper-v2,15585,1.0,1.0,True,15585.0,962.0324279632904,247.37183301105443,0.1141948327422142,0.03329572081565857,0.1141948327422142,11.826586536566415
3,2000000,10,20,True,0.0003,False,5,0.0,0,False,my_RL_experts,False,"[512, 128, 32]",,False,True,linear,poly 2,10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC+H,Hopper-v2,15585,1.0,1.0,False,15585.0,196.26318155633805,119.43828606138128,0.11708839982748033,0.060834165662527084,0.11708839982748033,2.324349061648051
