verbose,total_opt_steps,N_epoch,N_E_traj,add_history,learning_rate,random_demos,N_agg_iter,opt_seed,run_seed,linear,RL_expert_folder,partial_obs,result_path,kill_feats,pair_E_s0,pi0_BC_init,density_ratio_feature_map,adversary_feature_map,H_dims,N_test_E_traj,N_test_rollout,batch_size,reinit_opt,resume_BC,record_intermediate,NN_mid_as_feats,N_FAIL_samps,render,switch_2_E_after,RL_expert_exp_id,RL_expert_load_best,RL_expert_algo,T_max,loss_function,alg,env_id,N_E_samp,w_max,w_min,final,w_ESS,reward,reward_std,loss_test,loss_train,class_test,runtime
0,1600000,10,1,False,0.03,False,5,,0,False,my_RL_experts,False,results/results-MountainCar-v0--exp0.csv,[0],False,True,linear,poly 2,[64],10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC-PO0,MountainCar-v0,106,1.0,1.0,False,106.0,-115.0,0.0,0.35985317826271057,0.1624719798564911,0.08749999850988388,0.8040795842806499
0,2000000,10,1,False,0.03,False,5,,0,False,my_RL_experts,False,results/results-MountainCar-v0--exp0.csv,[0],False,True,linear,poly 2,[64],10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC-PO0,MountainCar-v0,106,1.0,1.0,True,106.0,-129.8,23.81512124680452,0.4575761556625366,0.14761723577976227,0.08557692170143127,1.022430920600891
0,400000,10,1,True,0.03,False,5,,0,False,my_RL_experts,False,results/results-MountainCar-v0--exp0.csv,[0],False,True,linear,poly 2,[64],10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC+H-PO0,MountainCar-v0,106,1.0,1.0,False,106.0,-200.0,0.0,0.2009572833776474,0.08650867640972137,0.029807692393660545,0.1962454398473104
0,800000,10,1,True,0.03,False,5,,0,False,my_RL_experts,False,results/results-MountainCar-v0--exp0.csv,[0],False,True,linear,poly 2,[64],10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC+H-PO0,MountainCar-v0,106,1.0,1.0,False,106.0,-200.0,0.0,0.4172720909118652,0.06831887364387512,0.03750000149011612,0.4042426268259684
0,1200000,10,1,True,0.03,False,5,,0,False,my_RL_experts,False,results/results-MountainCar-v0--exp0.csv,[0],False,True,linear,poly 2,[64],10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC+H-PO0,MountainCar-v0,106,1.0,1.0,False,106.0,-200.0,0.0,0.4872638583183289,0.05150642991065979,0.03365384787321092,0.6291340907414754
0,1600000,10,1,True,0.03,False,5,,0,False,my_RL_experts,False,results/results-MountainCar-v0--exp0.csv,[0],False,True,linear,poly 2,[64],10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC+H-PO0,MountainCar-v0,106,1.0,1.0,False,106.0,-200.0,0.0,0.5207055807113647,0.07657036930322647,0.02692307718098164,0.8435774087905884
0,2000000,10,1,True,0.03,False,5,,0,False,my_RL_experts,False,results/results-MountainCar-v0--exp0.csv,[0],False,True,linear,poly 2,[64],10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC+H-PO0,MountainCar-v0,106,1.0,1.0,True,106.0,-200.0,0.0,0.4864035844802856,0.07876338809728622,0.029807692393660545,1.065109384059906
0,400000,10,1,False,0.03,False,5,,0,False,my_RL_experts,False,results/results-MountainCar-v0--exp0.csv,[1],False,True,linear,poly 2,[64],10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC-PO1,MountainCar-v0,106,1.0,1.0,False,106.0,-200.0,0.0,1.3416306972503662,0.5068434476852417,0.36057692766189575,0.1980220317840576
0,800000,10,1,False,0.03,False,5,,0,False,my_RL_experts,False,results/results-MountainCar-v0--exp0.csv,[1],False,True,linear,poly 2,[64],10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC-PO1,MountainCar-v0,106,1.0,1.0,False,106.0,-200.0,0.0,2.2270433902740483,0.4658861756324768,0.3528846204280853,0.4018156329790751
0,1200000,10,1,False,0.03,False,5,,0,False,my_RL_experts,False,results/results-MountainCar-v0--exp0.csv,[1],False,True,linear,poly 2,[64],10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC-PO1,MountainCar-v0,106,1.0,1.0,False,106.0,-200.0,0.0,3.182154417037964,0.4653493165969849,0.35961538553237915,0.604543924331665
0,1600000,10,1,False,0.03,False,5,,0,False,my_RL_experts,False,results/results-MountainCar-v0--exp0.csv,[1],False,True,linear,poly 2,[64],10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC-PO1,MountainCar-v0,106,1.0,1.0,False,106.0,-200.0,0.0,2.277778148651123,0.4884070158004761,0.3913461565971375,0.8095058242479959
0,2000000,10,1,False,0.03,False,5,,0,False,my_RL_experts,False,results/results-MountainCar-v0--exp0.csv,[1],False,True,linear,poly 2,[64],10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC-PO1,MountainCar-v0,106,1.0,1.0,True,106.0,-200.0,0.0,2.3028695583343506,0.4906050860881805,0.366346150636673,1.0303715149561563
0,400000,10,1,True,0.03,False,5,,0,False,my_RL_experts,False,results/results-MountainCar-v0--exp0.csv,[1],False,True,linear,poly 2,[64],10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC+H-PO1,MountainCar-v0,106,1.0,1.0,False,106.0,-200.0,0.0,0.8173356056213379,0.04073397070169449,0.06057692319154739,0.2117871920267741
0,800000,10,1,True,0.03,False,5,,0,False,my_RL_experts,False,results/results-MountainCar-v0--exp0.csv,[1],False,True,linear,poly 2,[64],10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC+H-PO1,MountainCar-v0,106,1.0,1.0,False,106.0,-200.0,0.0,1.4822609424591064,0.03549754247069359,0.06730769574642181,0.4181127587954203
