verbose,total_opt_steps,N_epoch,N_E_traj,add_history,learning_rate,density_ratio_feature_map,N_agg_iter,opt_seed,run_seed,linear,RL_expert_folder,kill_feats,results_path,pair_E_s0,adversary_feature_map,H_dims,N_test_E_traj,N_test_rollout,batch_size,reinit_opt,record_intermediate,NN_mid_as_feats,N_FAIL_samps,render,render_final,switch_2_E_after,random_demos,RL_expert_exp_id,RL_expert_load_best,RL_expert_algo,T_max,partial_obs,loss_function,alg,env_id,N_E_samp,w_max,w_min,final,w_ESS,reward,reward_std,loss_test,loss_train,class_test,runtime,best_ind
0,200000,10,1,False,0.1,linear,20,0,0,False,my_RL_experts,[3],results/results-CartPole-v1--exp1.csv,False,,[512],10,10,128,False,False,,,False,False,,False,0,True,,,False,,ALICE-Cov-PO3,CartPole-v1,500,1.0,1.0,False,500.0,96.0,0.0,5.021841526031494,0.17615774273872375,0.3357999920845032,0.1302996277809143,0
0,400000,10,1,False,0.1,linear,20,0,0,False,my_RL_experts,[3],results/results-CartPole-v1--exp1.csv,False,,[512],10,10,128,False,False,,,False,False,,False,0,True,,,False,,ALICE-Cov-PO3,CartPole-v1,500,12.886067375121574,0.5389997843581624,False,223.93595116129643,162.0,0.0,6.036371231079103,0.12014561146497725,0.3409999907016754,0.2641377766927083,1
0,600000,10,1,False,0.1,linear,20,0,0,False,my_RL_experts,[3],results/results-CartPole-v1--exp1.csv,False,,[512],10,10,128,False,False,,,False,False,,False,0,True,,,False,,ALICE-Cov-PO3,CartPole-v1,500,18.409577749727088,0.3781374156105181,False,145.63420719102342,173.0,0.0,6.189730167388916,0.10576355457305907,0.34360000491142273,0.4086925506591797,2
0,800000,10,1,False,0.1,linear,20,0,0,False,my_RL_experts,[3],results/results-CartPole-v1--exp1.csv,False,,[512],10,10,128,False,False,,,False,False,,False,0,True,,,False,,ALICE-Cov-PO3,CartPole-v1,500,20.138471630956527,0.2906786373817934,False,121.02438139200449,194.0,0.0,6.22624397277832,0.102593295276165,0.34439998865127563,0.5554887056350708,3
0,1000000,10,1,False,0.1,linear,20,0,0,False,my_RL_experts,[3],results/results-CartPole-v1--exp1.csv,False,,[512],10,10,128,False,False,,,False,False,,False,0,True,,,False,,ALICE-Cov-PO3,CartPole-v1,500,20.42290830405101,0.2378271116905353,False,111.0867994394166,213.0,0.0,6.6833248138427725,0.0911467671394348,0.3463999927043915,0.7030166546503703,4
0,1200000,10,1,False,0.1,linear,20,0,0,False,my_RL_experts,[3],results/results-CartPole-v1--exp1.csv,False,,[512],10,10,128,False,False,,,False,False,,False,0,True,,,False,,ALICE-Cov-PO3,CartPole-v1,500,19.54843587384191,0.20283866587157307,False,110.90861923276958,215.0,0.0,7.329349040985107,0.08851539343595505,0.3418000042438507,0.8512382547060648,5
0,1400000,10,1,False,0.1,linear,20,0,0,False,my_RL_experts,[3],results/results-CartPole-v1--exp1.csv,False,,[512],10,10,128,False,False,,,False,False,,False,0,True,,,False,,ALICE-Cov-PO3,CartPole-v1,500,18.534394169865784,0.17797980747078895,False,113.09875505863428,174.0,0.0,8.178316116333008,0.0947638377547264,0.3382000029087067,1.0093210697174069,6
0,1600000,10,1,False,0.1,linear,20,0,0,False,my_RL_experts,[3],results/results-CartPole-v1--exp1.csv,False,,[512],10,10,128,False,False,,,False,False,,False,0,True,,,False,,ALICE-Cov-PO3,CartPole-v1,500,17.75895684049424,0.15948963664429533,False,114.70455958227517,154.0,0.0,7.167898654937744,0.131416454911232,0.33320000767707825,1.1607037901878356,7
0,1800000,10,1,False,0.1,linear,20,0,0,False,my_RL_experts,[3],results/results-CartPole-v1--exp1.csv,False,,[512],10,10,128,False,False,,,False,False,,False,0,True,,,False,,ALICE-Cov-PO3,CartPole-v1,500,17.141424817550547,0.14529191758100138,False,115.97131141830252,233.0,0.0,8.547968864440918,0.09383169561624527,0.3425999879837036,1.3143277168273926,8
0,2000000,10,1,False,0.1,linear,20,0,0,False,my_RL_experts,[3],results/results-CartPole-v1--exp1.csv,False,,[512],10,10,128,False,False,,,False,False,,False,0,True,,,False,,ALICE-Cov-PO3,CartPole-v1,500,16.539396019281906,0.13387481903150975,False,117.62147701937089,93.0,0.0,7.925384521484375,0.12746979296207428,0.3318000137805939,1.4690990606943766,9
