verbose,total_opt_steps,N_epoch,N_E_traj,add_history,learning_rate,H_dims,N_agg_iter,opt_seed,run_seed,linear,RL_expert_folder,results_path,FORWARD,N_ALICE_traj,kill_feats,density_ratio_feature_map,adversary_feature_map,learning_rate_BC,entropy_coeff,N_test_E_traj,N_test_rollout,batch_size,reinit_opt,record_intermediate,NN_mid_as_feats,N_FAIL_samps,render,render_final,switch_2_E_after,random_demos,RL_expert_exp_id,RL_expert_load_best,RL_expert_algo,T_max_all,T_max,model_reg_coeff,partial_obs,recent_samp_priority_exp,horizon_weight_offset_exp,pair_with_E,drop_first,adversary_t_bucket_size,recompute_adversary_freq,density_ratio_alpha,train_r_mean,train_r_std,test_r_mean,test_r_std,loss_function,alg,env_id,N_E_samp,epoch_losses,best_epoch_ind,entropy,num_switched,mean_abs_logit,min_abs_logit,w_max,w_min,final,iteration_num,horizon,w_ESS,reward,reward_std,loss_test,loss_train,class_test,runtime,best_ind,JS_div,hindsight_loss_train
4,100000,10,25,FALSE,0.01,"(64,)",5,1,1,FALSE,my_RL_experts,results_jan2021/results-CartPole-v1--BBC.csv,FALSE,25,,,,0.01,0,50,50,128,FALSE,TRUE,,,FALSE,FALSE,,FALSE,0,TRUE,,,,,FALSE,1,,FALSE,0,,1,1,500,0,500,0,,BC,CartPole-v1,12500,"[0.3036120998692361, 0.26141512, 0.23671451, 0.22326604, 0.21176106, 0.19785748, 0.18907648, 0.18213563, 0.17812459, 0.16753753]",9,0.08453539,4487,2.408166885,6.60E-05,1,1,FALSE,0,500,12500,500,0,0.174349353,0.174746037,0.07384,0.419755483,0,0.034425635,0.174746037
4,200000,10,25,FALSE,0.01,"(64,)",5,1,1,FALSE,my_RL_experts,results_jan2021/results-CartPole-v1--BBC.csv,FALSE,25,,,,0.01,0,50,50,128,FALSE,TRUE,,,FALSE,FALSE,,FALSE,0,TRUE,,,,,FALSE,1,,FALSE,0,,1,1,500,0,500,0,,BC,CartPole-v1,12500,"[0.1380395330806296, 0.16063057, 0.15650633, 0.1551798, 0.15144938, 0.15154856, 0.14698586, 0.14397223, 0.14278291, 0.13684525]",9,0.069057785,318,3.285473824,3.49E-05,1,1,FALSE,1,500,12500,500,0,0.139536336,0.138958171,0.057080001,0.854611893,1,0.036532065,0.138958171
4,300000,10,25,FALSE,0.01,"(64,)",5,1,1,FALSE,my_RL_experts,results_jan2021/results-CartPole-v1--BBC.csv,FALSE,25,,,,0.01,0,50,50,128,FALSE,TRUE,,,FALSE,FALSE,,FALSE,0,TRUE,,,,,FALSE,1,,FALSE,0,,1,1,500,0,500,0,,BC,CartPole-v1,12500,"[0.11243025078767463, 0.13667637, 0.1315822, 0.13118999, 0.1284969, 0.13259679, 0.12741116, 0.12401913, 0.12430951, 0.12119759]",0,0.060994912,171,4.033155441,0.001088172,1,1,FALSE,2,500,12500,500,0,0.123807557,0.123035252,0.05068,1.316515505,2,0.020474338,0.123035252
4,400000,10,25,FALSE,0.01,"(64,)",5,1,1,FALSE,my_RL_experts,results_jan2021/results-CartPole-v1--BBC.csv,FALSE,25,,,,0.01,0,50,50,128,FALSE,TRUE,,,FALSE,FALSE,,FALSE,0,TRUE,,,,,FALSE,1,,FALSE,0,,1,1,500,0,500,0,,BC,CartPole-v1,12500,"[0.09970410294338065, 0.12052825, 0.1166693, 0.116681874, 0.11456805, 0.12075792, 0.115525186, 0.11130755, 0.11255539, 0.11243127]",0,0.055144865,90,4.70491457,0.000273377,1,1,FALSE,3,500,12500,500,0,0.112938792,0.112016447,0.044879999,1.824783285,3,0.013004775,0.112016447
4,500000,10,25,FALSE,0.01,"(64,)",5,1,1,FALSE,my_RL_experts,results_jan2021/results-CartPole-v1--BBC.csv,FALSE,25,,,,0.01,0,50,50,128,FALSE,TRUE,,,FALSE,FALSE,,FALSE,0,TRUE,,,,,FALSE,1,,FALSE,0,,1,1,500,0,500,0,,BC,CartPole-v1,12500,"[0.09266889541991512, 0.109266676, 0.1067471, 0.10685962, 0.1056213, 0.11168312, 0.10766455, 0.102976575, 0.104530565, 0.10675213]",0,0.050515532,56,5.278658867,0.001220316,1,1,TRUE,4,500,12500,500,0,0.104573362,0.103470773,0.041839998,2.528964837,4,0.013004775,0.103470773
4,100000,10,25,TRUE,0.01,"(64,)",5,1,1,FALSE,my_RL_experts,results_jan2021/results-CartPole-v1--BBC.csv,FALSE,25,,,,0.01,0,50,50,128,FALSE,TRUE,,,FALSE,FALSE,,FALSE,0,TRUE,,,,,FALSE,1,,FALSE,0,,1,1,500,0,500,0,,BC+H,CartPole-v1,12500,"[0.29508776218944227, 0.26883665, 0.22464126, 0.20641598, 0.19432618, 0.18328825, 0.17469871, 0.16670856, 0.16487406, 0.15803343]",9,0.07296247,8370,2.270733356,0.000141036,1,1,FALSE,0,500,12500,455.8,101.3038992,0.154119894,0.155842975,0.067000002,0.426404484,0,0.214846507,0.155842975
4,200000,10,25,TRUE,0.01,"(64,)",5,1,1,FALSE,my_RL_experts,results_jan2021/results-CartPole-v1--BBC.csv,FALSE,25,,,,0.01,0,50,50,128,FALSE,TRUE,,,FALSE,FALSE,,FALSE,0,TRUE,,,,,FALSE,1,,FALSE,0,,1,1,500,0,500,0,,BC+H,CartPole-v1,12500,"[0.12705509174002172, 0.15045445, 0.14438783, 0.14658163, 0.14296259, 0.143223, 0.1374613, 0.13485786, 0.1342255, 0.13249098]",0,0.061629381,273,3.008814573,0.000156432,1,1,FALSE,1,500,12500,500,0,0.127120167,0.127144441,0.053599998,0.878238734,1,0.111409429,0.127144441
4,300000,10,25,TRUE,0.01,"(64,)",5,1,1,FALSE,my_RL_experts,results_jan2021/results-CartPole-v1--BBC.csv,FALSE,25,,,,0.01,0,50,50,128,FALSE,TRUE,,,FALSE,FALSE,,FALSE,0,TRUE,,,,,FALSE,1,,FALSE,0,,1,1,500,0,500,0,,BC+H,CartPole-v1,12500,"[0.10753639083529296, 0.12948552, 0.12081334, 0.12518613, 0.12152836, 0.12682393, 0.118454635, 0.11697723, 0.11818706, 0.119716175]",0,0.056505334,261,3.698470354,0.000551537,1,1,FALSE,2,500,12500,500,0,0.116877072,0.115301266,0.049959999,1.326681519,2,0.060598018,0.115301266
4,400000,10,25,TRUE,0.01,"(64,)",5,1,1,FALSE,my_RL_experts,results_jan2021/results-CartPole-v1--BBC.csv,FALSE,25,,,,0.01,0,50,50,128,FALSE,TRUE,,,FALSE,FALSE,,FALSE,0,TRUE,,,,,FALSE,1,,FALSE,0,,1,1,500,0,500,0,,BC+H,CartPole-v1,12500,"[0.09248941365067755, 0.11754846, 0.106697224, 0.111573346, 0.10826626, 0.116873235, 0.10714238, 0.10539663, 0.107741624, 0.1126457]",0,0.052844677,160,4.373961449,0.000705689,1,1,FALSE,3,500,12500,500,0,0.112245969,0.110454924,0.048160002,1.775052905,3,0.03763818,0.110454924
4,500000,10,25,TRUE,0.01,"(64,)",5,1,1,FALSE,my_RL_experts,results_jan2021/results-CartPole-v1--BBC.csv,FALSE,25,,,,0.01,0,50,50,128,FALSE,TRUE,,,FALSE,FALSE,,FALSE,0,TRUE,,,,,FALSE,1,,FALSE,0,,1,1,500,0,500,0,,BC+H,CartPole-v1,12500,"[0.08706447727254486, 0.10588076, 0.09737244, 0.1015927, 0.09886994, 0.10709155, 0.099475905, 0.09751074, 0.10001978, 0.107412755]",0,0.050257001,151,4.974049091,9.12E-06,1,1,TRUE,4,500,12500,500,0,0.112325534,0.109592654,0.049679998,2.493519859,4,0.03763818,0.109592654
4,100000,10,25,FALSE,0.01,"(64,)",5,2,2,FALSE,my_RL_experts,results_jan2021/results-CartPole-v1--BBC.csv,FALSE,25,,,,0.01,0,50,50,128,FALSE,TRUE,,,FALSE,FALSE,,FALSE,0,TRUE,,,,,FALSE,1,,FALSE,0,,1,1,500,0,500,0,,BC,CartPole-v1,12500,"[0.3319780423269555, 0.2664569, 0.23939295, 0.22442019, 0.2053193, 0.19670992, 0.18418527, 0.17563984, 0.17380945, 0.16370404]",9,0.083188392,7549,2.262109995,0.000217164,1,1,FALSE,0,500,12500,500,0,0.161779046,0.162840992,0.070200004,0.417026889,0,0.155896129,0.162840992
4,200000,10,25,FALSE,0.01,"(64,)",5,2,2,FALSE,my_RL_experts,results_jan2021/results-CartPole-v1--BBC.csv,FALSE,25,,,,0.01,0,50,50,128,FALSE,TRUE,,,FALSE,FALSE,,FALSE,0,TRUE,,,,,FALSE,1,,FALSE,0,,1,1,500,0,500,0,,BC,CartPole-v1,12500,"[0.13083200114030072, 0.15621278, 0.15214844, 0.1540477, 0.14615875, 0.14754593, 0.13995689, 0.13513528, 0.13548581, 0.12938826]",9,0.069918208,371,2.961495638,0.000385635,1,1,FALSE,1,500,12500,500,0,0.129969507,0.129651293,0.049880002,0.849455118,1,0.104477143,0.129651293
4,300000,10,25,FALSE,0.01,"(64,)",5,2,2,FALSE,my_RL_experts,results_jan2021/results-CartPole-v1--BBC.csv,FALSE,25,,,,0.01,0,50,50,128,FALSE,TRUE,,,FALSE,FALSE,,FALSE,0,TRUE,,,,,FALSE,1,,FALSE,0,,1,1,500,0,500,0,,BC,CartPole-v1,12500,"[0.10641795578681125, 0.12457781, 0.12215796, 0.12540728, 0.11986893, 0.12478813, 0.115893066, 0.111384824, 0.112392195, 0.10882071]",0,0.060935069,212,3.693790674,0.000300854,1,1,FALSE,2,500,12500,500,0,0.113552414,0.112017781,0.041680001,1.279267637,2,0.078975032,0.112017781
4,400000,10,25,FALSE,0.01,"(64,)",5,2,2,FALSE,my_RL_experts,results_jan2021/results-CartPole-v1--BBC.csv,FALSE,25,,,,0.01,0,50,50,128,FALSE,TRUE,,,FALSE,FALSE,,FALSE,0,TRUE,,,,,FALSE,1,,FALSE,0,,1,1,500,0,500,0,,BC,CartPole-v1,12500,"[0.09084491841615581, 0.10446304, 0.10328695, 0.10756748, 0.10390846, 0.1102418, 0.100703575, 0.09626075, 0.09854131, 0.096109845]",0,0.053282533,131,4.467317581,0.000366881,1,1,FALSE,3,500,12500,500,0,0.104198985,0.101580352,0.041200001,1.70775669,3,0.047513536,0.101580352
4,500000,10,25,FALSE,0.01,"(64,)",5,2,2,FALSE,my_RL_experts,results_jan2021/results-CartPole-v1--BBC.csv,FALSE,25,,,,0.01,0,50,50,128,FALSE,TRUE,,,FALSE,FALSE,,FALSE,0,TRUE,,,,,FALSE,1,,FALSE,0,,1,1,500,0,500,0,,BC,CartPole-v1,12500,"[0.08115362025213718, 0.09295762, 0.09229257, 0.09639834, 0.09478072, 0.102501884, 0.092082694, 0.087035224, 0.09067656, 0.08809088]",0,0.048010986,53,5.119692326,0.001424819,1,1,TRUE,4,500,12500,500,0,0.097301774,0.094416209,0.039719999,2.404853805,4,0.047513536,0.094416209
4,100000,10,25,TRUE,0.01,"(64,)",5,2,2,FALSE,my_RL_experts,results_jan2021/results-CartPole-v1--BBC.csv,FALSE,25,,,,0.01,0,50,50,128,FALSE,TRUE,,,FALSE,FALSE,,FALSE,0,TRUE,,,,,FALSE,1,,FALSE,0,,1,1,500,0,500,0,,BC+H,CartPole-v1,12500,"[0.28394927132068437, 0.26158622, 0.22518717, 0.20942521, 0.19308577, 0.18738376, 0.17551473, 0.1692532, 0.16914722, 0.15996063]",9,0.080595665,4799,2.460534334,0.000113014,1,1,FALSE,0,500,12500,487.64,27.26885403,0.165010527,0.166979998,0.07976,0.440178724,0,0.072911384,0.166979998
4,200000,10,25,TRUE,0.01,"(64,)",5,2,2,FALSE,my_RL_experts,results_jan2021/results-CartPole-v1--BBC.csv,FALSE,25,,,,0.01,0,50,50,128,FALSE,TRUE,,,FALSE,FALSE,,FALSE,0,TRUE,,,,,FALSE,1,,FALSE,0,,1,1,500,0,500,0,,BC+H,CartPole-v1,12500,"[0.12760877282178568, 0.15429759, 0.1521969, 0.15191808, 0.14434735, 0.14635016, 0.13908705, 0.13806486, 0.14093493, 0.13238291]",0,0.069535002,243,3.25348115,0.000566207,1,1,FALSE,1,500,12500,500,0,0.144120201,0.143527046,0.06684,0.902121894,1,0.073989518,0.143527046
