verbose,total_opt_steps,N_epoch,N_E_traj,add_history,learning_rate,results_path,N_agg_iter,opt_seed,run_seed,linear,RL_expert_folder,RL_expert_exp_id,H_dims,FORWARD,N_ALICE_traj,kill_feats,density_ratio_feature_map,adversary_feature_map,learning_rate_BC,entropy_coeff,N_test_E_traj,N_test_rollout,batch_size,reinit_opt,record_intermediate,NN_mid_as_feats,N_FAIL_samps,render,render_final,switch_2_E_after,random_demos,RL_expert_load_best,RL_expert_algo,T_max_all,T_max,model_reg_coeff,partial_obs,recent_samp_priority_exp,horizon_weight_offset_exp,pair_with_E,drop_first,adversary_t_bucket_size,recompute_adversary_freq,density_ratio_alpha,train_r_mean,train_r_std,test_r_mean,test_r_std,loss_function,alg,env_id,N_E_samp,epoch_losses,best_epoch_ind,w_max,w_min,final,iteration_num,horizon,w_ESS,reward,reward_std,loss_test,loss_train,class_test,runtime,best_ind,JS_div,hindsight_loss_train
3,1000000,10,25,False,0.003,results_jan2021/results-HalfCheetah-v2--BBC.csv,10,0,0,False,my_RL_experts,2,"(512, 128, 32)",False,25,,,,0.003,0,50,50,128,False,True,,,False,False,,False,True,,,,,False,1,,False,0,,1,1,4514.631732161222,111.38435630198848,4333.9927277122015,738.5999276659005,mse,BC,HalfCheetah-v2_2,25000,"[0.2261914602677198, 0.10627753, 0.08077696, 0.06666379, 0.058614183, 0.052337855, 0.04838757, 0.046447545, 0.042135973, 0.041930094]",9,1.0,1.0,False,0,1000,24999.999999999996,4599.604326858895,376.55603883113093,0.2923523485660553,0.04288432002067566,0.2923523485660553,4.692286972204844,0,0.425945041347553,0.04288432002067566
3,2000000,10,25,False,0.003,results_jan2021/results-HalfCheetah-v2--BBC.csv,10,0,0,False,my_RL_experts,2,"(512, 128, 32)",False,25,,,,0.003,0,50,50,128,False,True,,,False,False,,False,True,,,,,False,1,,False,0,,1,1,4514.631732161222,111.38435630198848,4333.9927277122015,738.5999276659005,mse,BC,HalfCheetah-v2_2,25000,"[0.03964858988703345, 0.038383428, 0.03591068, 0.034353133, 0.034244772, 0.03078554, 0.029806912, 0.029897697, 0.028299443, 0.028357044]",8,1.0,1.0,False,1,1000,24999.999999999996,4375.540313293605,955.9913939687559,0.2522607743740082,0.029207618907094002,0.2522607743740082,8.701514728864034,1,0.764085506314201,0.029207618907094002
3,3000000,10,25,False,0.003,results_jan2021/results-HalfCheetah-v2--BBC.csv,10,0,0,False,my_RL_experts,2,"(512, 128, 32)",False,25,,,,0.003,0,50,50,128,False,True,,,False,False,,False,True,,,,,False,1,,False,0,,1,1,4514.631732161222,111.38435630198848,4333.9927277122015,738.5999276659005,mse,BC,HalfCheetah-v2_2,25000,"[0.02675061772031244, 0.028165657, 0.026400257, 0.026419243, 0.02520483, 0.023559533, 0.025226442, 0.022853337, 0.023471097, 0.022420444]",9,1.0,1.0,False,2,1000,24999.999999999996,4432.1843050876405,172.67557637444366,0.2384852021932602,0.024300871416926384,0.2384852021932602,12.536443400382996,2,0.5387985187998665,0.024300871416926384
3,4000000,10,25,False,0.003,results_jan2021/results-HalfCheetah-v2--BBC.csv,10,0,0,False,my_RL_experts,2,"(512, 128, 32)",False,25,,,,0.003,0,50,50,128,False,True,,,False,False,,False,True,,,,,False,1,,False,0,,1,1,4514.631732161222,111.38435630198848,4333.9927277122015,738.5999276659005,mse,BC,HalfCheetah-v2_2,25000,"[0.022692747660535386, 0.022706406, 0.021351425, 0.020675166, 0.02149479, 0.021956846, 0.021892706, 0.020180246, 0.019769136, 0.01923649]",9,1.0,1.0,False,3,1000,24999.999999999996,4456.798775129104,178.0186805032962,0.21924197673797607,0.023971864953637123,0.21924197673797607,16.328929976622263,3,0.4139815192304264,0.023971864953637123
3,5000000,10,25,False,0.003,results_jan2021/results-HalfCheetah-v2--BBC.csv,10,0,0,False,my_RL_experts,2,"(512, 128, 32)",False,25,,,,0.003,0,50,50,128,False,True,,,False,False,,False,True,,,,,False,1,,False,0,,1,1,4514.631732161222,111.38435630198848,4333.9927277122015,738.5999276659005,mse,BC,HalfCheetah-v2_2,25000,"[0.019698061736492672, 0.019711101, 0.019298535, 0.01904376, 0.019981807, 0.02056161, 0.018447679, 0.018330852, 0.01945895, 0.020585334]",7,1.0,1.0,False,4,1000,24999.999999999996,4395.4079058048055,413.1624257635027,0.23641878366470337,0.02471979707479477,0.23641878366470337,19.984266650676727,4,0.45235260773606045,0.02471979707479477
3,6000000,10,25,False,0.003,results_jan2021/results-HalfCheetah-v2--BBC.csv,10,0,0,False,my_RL_experts,2,"(512, 128, 32)",False,25,,,,0.003,0,50,50,128,False,True,,,False,False,,False,True,,,,,False,1,,False,0,,1,1,4514.631732161222,111.38435630198848,4333.9927277122015,738.5999276659005,mse,BC,HalfCheetah-v2_2,25000,"[0.0182185935559927, 0.019629158, 0.016875941, 0.018564349, 0.019249309, 0.017267404, 0.017752495, 0.01852336, 0.016804015, 0.01643484]",9,1.0,1.0,False,5,1000,24999.999999999996,4402.890756798139,752.4251044538038,0.21201245486736298,0.019308539107441902,0.21201245486736298,23.66411648988724,5,0.5652693853787212,0.019308539107441902
3,7000000,10,25,False,0.003,results_jan2021/results-HalfCheetah-v2--BBC.csv,10,0,0,False,my_RL_experts,2,"(512, 128, 32)",False,25,,,,0.003,0,50,50,128,False,True,,,False,False,,False,True,,,,,False,1,,False,0,,1,1,4514.631732161222,111.38435630198848,4333.9927277122015,738.5999276659005,mse,BC,HalfCheetah-v2_2,25000,"[0.01725309686785331, 0.017432213, 0.01683737, 0.016933974, 0.019687982, 0.016109014, 0.017132634, 0.016451063, 0.017276665, 0.01655183]",5,1.0,1.0,False,6,1000,24999.999999999996,4371.606953019872,594.3774273253359,0.2150202989578247,0.01748955249786377,0.2150202989578247,27.32905453046163,6,0.6174246793764757,0.01748955249786377
3,8000000,10,25,False,0.003,results_jan2021/results-HalfCheetah-v2--BBC.csv,10,0,0,False,my_RL_experts,2,"(512, 128, 32)",False,25,,,,0.003,0,50,50,128,False,True,,,False,False,,False,True,,,,,False,1,,False,0,,1,1,4514.631732161222,111.38435630198848,4333.9927277122015,738.5999276659005,mse,BC,HalfCheetah-v2_2,25000,"[0.01690061707834946, 0.017017717, 0.016334793, 0.017624276, 0.015675854, 0.015649863, 0.01623701, 0.016246354, 0.014562388, 0.016380807]",8,1.0,1.0,False,7,1000,24999.999999999996,4168.938619161516,904.4890563617308,0.21375460922718048,0.018457436934113503,0.21375460922718048,31.105215501785278,7,0.7563810956916432,0.018457436934113503
3,9000000,10,25,False,0.003,results_jan2021/results-HalfCheetah-v2--BBC.csv,10,0,0,False,my_RL_experts,2,"(512, 128, 32)",False,25,,,,0.003,0,50,50,128,False,True,,,False,False,,False,True,,,,,False,1,,False,0,,1,1,4514.631732161222,111.38435630198848,4333.9927277122015,738.5999276659005,mse,BC,HalfCheetah-v2_2,25000,"[0.015584641745202243, 0.017665865, 0.014470628, 0.015705213, 0.015576388, 0.015598694, 0.016988577, 0.014499024, 0.014771754, 0.016189802]",2,1.0,1.0,False,8,1000,24999.999999999996,4518.981312726427,234.2910321584459,0.2171160876750946,0.018603969365358353,0.2171160876750946,34.88145528634389,8,0.706119682192348,0.018603969365358353
3,10000000,10,25,False,0.003,results_jan2021/results-HalfCheetah-v2--BBC.csv,10,0,0,False,my_RL_experts,2,"(512, 128, 32)",False,25,,,,0.003,0,50,50,128,False,True,,,False,False,,False,True,,,,,False,1,,False,0,,1,1,4514.631732161222,111.38435630198848,4333.9927277122015,738.5999276659005,mse,BC,HalfCheetah-v2_2,25000,"[0.01555008691582596, 0.015585631, 0.013860493, 0.014689841, 0.015400668, 0.015010272, 0.015427727, 0.014131483, 0.014687755, 0.015575905]",2,1.0,1.0,True,9,1000,24999.999999999996,4273.344926557063,733.0570308131574,0.21027082204818726,0.015886567533016205,0.21027082204818726,40.023736576239266,9,0.706119682192348,0.015886567533016205
3,1000000,10,25,True,0.003,results_jan2021/results-HalfCheetah-v2--BBC.csv,10,0,0,False,my_RL_experts,2,"(512, 128, 32)",False,25,,,,0.003,0,50,50,128,False,True,,,False,False,,False,True,,,,,False,1,,False,0,,1,1,4514.631732161222,111.38435630198848,4333.9927277122015,738.5999276659005,mse,BC+H,HalfCheetah-v2_2,25000,"[0.28001273521295517, 0.20433816, 0.1840555, 0.1226207, 0.060830083, 0.054242287, 0.049515825, 0.04578312, 0.04301401, 0.04209014]",9,1.0,1.0,False,0,1000,24999.999999999996,4385.6291868419385,688.1719148376434,0.2654632329940796,0.050917625427246094,0.2654632329940796,3.8297112623850507,0,0.8415174447582103,0.050917625427246094
3,2000000,10,25,True,0.003,results_jan2021/results-HalfCheetah-v2--BBC.csv,10,0,0,False,my_RL_experts,2,"(512, 128, 32)",False,25,,,,0.003,0,50,50,128,False,True,,,False,False,,False,True,,,,,False,1,,False,0,,1,1,4514.631732161222,111.38435630198848,4333.9927277122015,738.5999276659005,mse,BC+H,HalfCheetah-v2_2,25000,"[0.040533304148551545, 0.03788846, 0.033319235, 0.03438497, 0.030926013, 0.029608438, 0.03057796, 0.026000476, 0.027000546, 0.027969053]",7,1.0,1.0,False,1,1000,24999.999999999996,4464.970287429652,131.70650255187604,0.24774359166622162,0.03766518458724022,0.24774359166622162,7.672134459018707,1,0.44244909862754866,0.03766518458724022
