verbose,total_opt_steps,N_epoch,N_E_traj,add_history,learning_rate,N_agg_iter,opt_seed,run_seed,linear,RL_expert_folder,results_path,FORWARD,N_ALICE_traj,kill_feats,density_ratio_feature_map,adversary_feature_map,learning_rate_BC,entropy_coeff,H_dims,N_test_E_traj,N_test_rollout,batch_size,reinit_opt,record_intermediate,NN_mid_as_feats,N_FAIL_samps,render,render_final,switch_2_E_after,random_demos,RL_expert_exp_id,RL_expert_load_best,RL_expert_algo,T_max_all,T_max,model_reg_coeff,partial_obs,recent_samp_priority_exp,horizon_weight_offset_exp,pair_with_E,drop_first,adversary_t_bucket_size,recompute_adversary_freq,density_ratio_alpha,train_r_mean,train_r_std,test_r_mean,test_r_std,loss_function,alg,env_id,N_E_samp,entropy,num_switched,epoch_losses,best_epoch_ind,mean_abs_logit,min_abs_logit,w_max,w_min,final,iteration_num,horizon,w_ESS,reward,reward_std,loss_test,loss_train,class_test,runtime,best_ind,JS_div,hindsight_loss_train
4,200000,10,25,FALSE,0.1,5,2,2,FALSE,my_RL_experts,results_jan2021/results-CartPole-v1--BC.csv,FALSE,25,,,,0.1,0,"(512,)",50,50,128,FALSE,TRUE,,,FALSE,FALSE,,FALSE,0,TRUE,,,,,FALSE,1,,FALSE,0,,1,1,500,0,500,0,,BC,CartPole-v1,12500,0.044701479,5939,"[0.22418227772882032, 0.2166787, 0.17398629, 0.17383648, 0.15521058, 0.15322283, 0.14744872, 0.13385546, 0.1481177, 0.14517742]",7,4.903909683,0.000595093,1,1,FALSE,0,500,12500,500,0,0.135867879,0.131588787,0.049400002,0.482071877,0,0.01536266,0.131588787
4,400000,10,25,FALSE,0.1,5,2,2,FALSE,my_RL_experts,results_jan2021/results-CartPole-v1--BC.csv,FALSE,25,,,,0.1,0,"(512,)",50,50,128,FALSE,TRUE,,,FALSE,FALSE,,FALSE,0,TRUE,,,,,FALSE,1,,FALSE,0,,1,1,500,0,500,0,,BC,CartPole-v1,12500,0.036683861,340,"[0.12617836899481502, 0.10796345, 0.13746384, 0.11339989, 0.117455, 0.11598246, 0.10908053, 0.112404324, 0.11604883, 0.1167368]",1,6.751513958,0.000170827,1,1,FALSE,1,500,12500,500,0,0.101171501,0.094662167,0.039439999,1.008662109,1,0.014859806,0.094662167
4,600000,10,25,FALSE,0.1,5,2,2,FALSE,my_RL_experts,results_jan2021/results-CartPole-v1--BC.csv,FALSE,25,,,,0.1,0,"(512,)",50,50,128,FALSE,TRUE,,,FALSE,FALSE,,FALSE,0,TRUE,,,,,FALSE,1,,FALSE,0,,1,1,500,0,500,0,,BC,CartPole-v1,12500,0.032666765,242,"[0.11216879299184955, 0.093084745, 0.11500107, 0.11055671, 0.12014512, 0.104527794, 0.12622854, 0.10151137, 0.11965701, 0.110920355]",1,7.5355196,0.000994921,1,1,FALSE,2,500,12500,500,0,0.096991614,0.093893982,0.03892,1.527175597,2,0.017107774,0.093893982
4,800000,10,25,FALSE,0.1,5,2,2,FALSE,my_RL_experts,results_jan2021/results-CartPole-v1--BC.csv,FALSE,25,,,,0.1,0,"(512,)",50,50,128,FALSE,TRUE,,,FALSE,FALSE,,FALSE,0,TRUE,,,,,FALSE,1,,FALSE,0,,1,1,500,0,500,0,,BC,CartPole-v1,12500,0.029907607,115,"[0.09657049517045836, 0.09286, 0.11009563, 0.105053395, 0.10785541, 0.11662975, 0.12326364, 0.09237221, 0.10551526, 0.10228327]",7,8.205931664,0.000221133,1,1,FALSE,3,500,12500,500,0,0.097578548,0.094465233,0.039919998,2.027810073,3,0.013732958,0.094465233
4,1000000,10,25,FALSE,0.1,5,2,2,FALSE,my_RL_experts,results_jan2021/results-CartPole-v1--BC.csv,FALSE,25,,,,0.1,0,"(512,)",50,50,128,FALSE,TRUE,,,FALSE,FALSE,,FALSE,0,TRUE,,,,,FALSE,1,,FALSE,0,,1,1,500,0,500,0,,BC,CartPole-v1,12500,0.02712143,77,"[0.09568806277417502, 0.087804854, 0.100598246, 0.10087207, 0.10276658, 0.09322378, 0.12074705, 0.08876191, 0.09516795, 0.09846235]",1,9.141478539,0.000352502,1,1,TRUE,4,500,12500,500,0,0.103813767,0.10133367,0.041480001,2.708083391,4,0.013732958,0.10133367
4,200000,10,25,FALSE,0.1,5,3,3,FALSE,my_RL_experts,results_jan2021/results-CartPole-v1--BC.csv,FALSE,25,,,,0.1,0,"(512,)",50,50,128,FALSE,TRUE,,,FALSE,FALSE,,FALSE,0,TRUE,,,,,FALSE,1,,FALSE,0,,1,1,500,0,500,0,,BC,CartPole-v1,12500,0.06396576,6106,"[0.225558174534569, 0.20021965, 0.17406216, 0.16156098, 0.16718723, 0.15808591, 0.15588379, 0.15002045, 0.15576854, 0.16958371]",7,4.076921463,0.000353158,1,1,FALSE,0,500,12500,500,0,0.149024203,0.142992765,0.06216,0.441682096,0,0.006453305,0.142992765
4,400000,10,25,FALSE,0.1,5,3,3,FALSE,my_RL_experts,results_jan2021/results-CartPole-v1--BC.csv,FALSE,25,,,,0.1,0,"(512,)",50,50,128,FALSE,TRUE,,,FALSE,FALSE,,FALSE,0,TRUE,,,,,FALSE,1,,FALSE,0,,1,1,500,0,500,0,,BC,CartPole-v1,12500,0.041550692,583,"[0.13699879120036274, 0.13717885, 0.13113293, 0.116453625, 0.111144036, 0.12522316, 0.121008806, 0.11343946, 0.12185674, 0.10782776]",9,6.012507439,0.000540853,1,1,FALSE,1,500,12500,500,0,0.103970595,0.099308379,0.043120001,0.939940679,1,0.004910251,0.099308379
4,600000,10,25,FALSE,0.1,5,3,3,FALSE,my_RL_experts,results_jan2021/results-CartPole-v1--BC.csv,FALSE,25,,,,0.1,0,"(512,)",50,50,128,FALSE,TRUE,,,FALSE,FALSE,,FALSE,0,TRUE,,,,,FALSE,1,,FALSE,0,,1,1,500,0,500,0,,BC,CartPole-v1,12500,0.038144581,266,"[0.10863606171052907, 0.118123256, 0.11470581, 0.10322355, 0.09750758, 0.1163171, 0.10845404, 0.10014847, 0.104508586, 0.104142874]",4,6.994134903,0.001150012,1,1,FALSE,2,500,12500,500,0,0.114938669,0.108466819,0.046360001,1.485440918,2,0.004801846,0.108466819
4,800000,10,25,FALSE,0.1,5,3,3,FALSE,my_RL_experts,results_jan2021/results-CartPole-v1--BC.csv,FALSE,25,,,,0.1,0,"(512,)",50,50,128,FALSE,TRUE,,,FALSE,FALSE,,FALSE,0,TRUE,,,,,FALSE,1,,FALSE,0,,1,1,500,0,500,0,,BC,CartPole-v1,12500,0.034567337,163,"[0.09445123769501562, 0.11308234, 0.107671075, 0.09816079, 0.09176041, 0.1219607, 0.101140276, 0.10079845, 0.100149356, 0.10286988]",4,7.710697651,9.87E-05,1,1,FALSE,3,500,12500,500,0,0.103019871,0.095656857,0.042879999,2.08021032,3,0.006084321,0.095656857
4,1000000,10,25,FALSE,0.1,5,3,3,FALSE,my_RL_experts,results_jan2021/results-CartPole-v1--BC.csv,FALSE,25,,,,0.1,0,"(512,)",50,50,128,FALSE,TRUE,,,FALSE,FALSE,,FALSE,0,TRUE,,,,,FALSE,1,,FALSE,0,,1,1,500,0,500,0,,BC,CartPole-v1,12500,0.034556437,233,"[0.09092461312439809, 0.112152226, 0.10795281, 0.0948111, 0.091484636, 0.120711856, 0.09770289, 0.09449373, 0.09637461, 0.102089606]",0,8.042993546,0.000987291,1,1,TRUE,4,500,12500,500,0,0.102313146,0.094660819,0.040240001,2.868513473,4,0.006084321,0.094660819
