verbose,total_opt_steps,N_epoch,N_E_traj,add_history,learning_rate,results_path,N_agg_iter,opt_seed,run_seed,RL_expert_folder,H_dims,FORWARD,N_ALICE_traj,kill_feats,density_ratio_feature_map,adversary_feature_map,learning_rate_BC,entropy_coeff,linear,N_test_E_traj,N_test_rollout,batch_size,reinit_opt,record_intermediate,NN_mid_as_feats,N_FAIL_samps,render,render_final,switch_2_E_after,random_demos,RL_expert_exp_id,RL_expert_load_best,RL_expert_algo,T_max_all,T_max,model_reg_coeff,partial_obs,recent_samp_priority_exp,horizon_weight_offset_exp,pair_with_E,drop_first,adversary_t_bucket_size,recompute_adversary_freq,density_ratio_alpha,train_r_mean,train_r_std,test_r_mean,test_r_std,loss_function,alg,env_id,N_E_samp,epoch_losses,best_epoch_ind,w_max,w_min,final,iteration_num,horizon,w_ESS,reward,reward_std,loss_test,loss_train,class_test,runtime,best_ind,JS_div,hindsight_loss_train
0,30000000,10,25,True,0.001,results_jan2021/results-Walker2d-v2--BBC.csv,3,2,2,my_RL_experts,"(512, 512)",False,25,,,,0.001,0,False,50,50,128,False,True,,,False,False,,False,0,True,,,,,False,1,,False,0,,1,1,5475.306786336117,99.45955791050467,5496.290599323942,89.30738631609151,mse,BC+H,Walker2d-v2,25000,"[0.00441813740955884, 0.0046050274, 0.004032093, 0.004563964, 0.004147978, 0.0038068711, 0.004280484, 0.0038720325, 0.003934881, 0.0038962741]",5,1.0,1.0,True,2,1000,24999.999999999996,2629.08523633489,2430.4109570503097,0.02918204851448536,0.00520367082208395,0.02918204851448536,107.7895945429802,2,0.344890589825809,0.00520367082208395
0,10000000,10,25,False,0.001,results_jan2021/results-Walker2d-v2--BBC.csv,3,3,3,my_RL_experts,"(512, 512)",False,25,,,,0.001,0,False,50,50,128,False,True,,,False,False,,False,0,True,,,,,False,1,,False,0,,1,1,5475.306786336117,99.45955791050467,5496.290599323942,89.30738631609151,mse,BC,Walker2d-v2,25000,"[0.04005018354138534, 0.023225103, 0.017870981, 0.014128075, 0.012517987, 0.010849854, 0.010432556, 0.009436163, 0.008456544, 0.008039309]",9,1.0,1.0,False,0,1000,24999.999999999996,5217.237770531869,766.8539133822246,0.033333487808704376,0.012023992836475372,0.033333487808704376,33.67819397846858,0,0.05467969624588598,0.012023992836475372
0,20000000,10,25,False,0.001,results_jan2021/results-Walker2d-v2--BBC.csv,3,3,3,my_RL_experts,"(512, 512)",False,25,,,,0.001,0,False,50,50,128,False,True,,,False,False,,False,0,True,,,,,False,1,,False,0,,1,1,5475.306786336117,99.45955791050467,5496.290599323942,89.30738631609151,mse,BC,Walker2d-v2,25000,"[0.007810281480496342, 0.0073781926, 0.007100875, 0.0060681948, 0.0063255, 0.00587825, 0.005707749, 0.0058160005, 0.0059202723, 0.005633839]",9,1.0,1.0,False,1,1000,24999.999999999996,5363.780889532758,572.5241922990745,0.029229111969470978,0.007239304017275572,0.029229111969470978,64.89184238115946,1,0.02420569316109497,0.007239304017275572
0,30000000,10,25,False,0.001,results_jan2021/results-Walker2d-v2--BBC.csv,3,3,3,my_RL_experts,"(512, 512)",False,25,,,,0.001,0,False,50,50,128,False,True,,,False,False,,False,0,True,,,,,False,1,,False,0,,1,1,5475.306786336117,99.45955791050467,5496.290599323942,89.30738631609151,mse,BC,Walker2d-v2,25000,"[0.005797447234164574, 0.0050233286, 0.0052575236, 0.0047327303, 0.005059352, 0.004904619, 0.0051116487, 0.0050937007, 0.0045857914, 0.004553634]",9,1.0,1.0,True,2,1000,24999.999999999996,4758.8832465221085,1700.4083948501777,0.028978684917092323,0.006235974840819836,0.028978684917092323,102.21292877991995,2,0.02420569316109497,0.006235974840819836
0,10000000,10,25,True,0.001,results_jan2021/results-Walker2d-v2--BBC.csv,3,3,3,my_RL_experts,"(512, 512)",False,25,,,,0.001,0,False,50,50,128,False,True,,,False,False,,False,0,True,,,,,False,1,,False,0,,1,1,5475.306786336117,99.45955791050467,5496.290599323942,89.30738631609151,mse,BC+H,Walker2d-v2,25000,"[0.03463190100930107, 0.019910682, 0.014523487, 0.012712721, 0.011039423, 0.009841488, 0.007959752, 0.0076415264, 0.007361062, 0.0064490084]",9,1.0,1.0,False,0,1000,24999.999999999996,3612.167343887508,1688.3979187022453,0.030817732214927673,0.008389577269554138,0.030817732214927673,34.11294063727061,0,0.1289167320355773,0.008389577269554138
0,20000000,10,25,True,0.001,results_jan2021/results-Walker2d-v2--BBC.csv,3,3,3,my_RL_experts,"(512, 512)",False,25,,,,0.001,0,False,50,50,128,False,True,,,False,False,,False,0,True,,,,,False,1,,False,0,,1,1,5475.306786336117,99.45955791050467,5496.290599323942,89.30738631609151,mse,BC+H,Walker2d-v2,25000,"[0.006801938922570698, 0.005997273, 0.005687233, 0.0053031896, 0.005547423, 0.004956285, 0.0053187343, 0.0047292993, 0.004545274, 0.0043076263]",9,1.0,1.0,False,1,1000,24999.999999999996,3672.7232039225,2020.560315866745,0.030303122475743294,0.006586771458387375,0.030303122475743294,65.83732057412466,1,0.11163901700638235,0.006586771458387375
0,30000000,10,25,True,0.001,results_jan2021/results-Walker2d-v2--BBC.csv,3,3,3,my_RL_experts,"(512, 512)",False,25,,,,0.001,0,False,50,50,128,False,True,,,False,False,,False,0,True,,,,,False,1,,False,0,,1,1,5475.306786336117,99.45955791050467,5496.290599323942,89.30738631609151,mse,BC+H,Walker2d-v2,25000,"[0.004602032489624398, 0.0045695677, 0.0047104224, 0.004817141, 0.004275754, 0.0042185234, 0.0040414413, 0.0040133586, 0.0040784488, 0.0046240776]",7,1.0,1.0,True,2,1000,24999.999999999996,4054.573547587832,1855.8793386827792,0.030236391350626945,0.005929061211645603,0.030236391350626945,122.00687663555145,2,0.11163901700638235,0.005929061211645603
0,10000000,10,25,False,0.001,results_jan2021/results-Walker2d-v2--BBC.csv,3,4,4,my_RL_experts,"(512, 512)",False,25,,,,0.001,0,False,50,50,128,False,True,,,False,False,,False,0,True,,,,,False,1,,False,0,,1,1,5475.306786336117,99.45955791050467,5496.290599323942,89.30738631609151,mse,BC,Walker2d-v2,25000,"[0.039972878386316586, 0.024518942, 0.01760038, 0.015179632, 0.012133649, 0.0104420865, 0.010033689, 0.009191307, 0.008363808, 0.007991986]",9,1.0,1.0,False,0,1000,24999.999999999996,5047.706182023148,1450.5557706364696,0.03169926628470421,0.010354483500123024,0.03169926628470421,55.57665238380432,0,0.003321708168889416,0.010354483500123024
0,20000000,10,25,False,0.001,results_jan2021/results-Walker2d-v2--BBC.csv,3,4,4,my_RL_experts,"(512, 512)",False,25,,,,0.001,0,False,50,50,128,False,True,,,False,False,,False,0,True,,,,,False,1,,False,0,,1,1,5475.306786336117,99.45955791050467,5496.290599323942,89.30738631609151,mse,BC,Walker2d-v2,25000,"[0.0076554294342889625, 0.0073126582, 0.007451986, 0.0068486207, 0.006612312, 0.0061075804, 0.005522706, 0.0056724884, 0.0058244807, 0.005272547]",9,1.0,1.0,False,1,1000,24999.999999999996,3386.56406394713,2595.9937288136534,0.02946590632200241,0.007307105232030153,0.02946590632200241,91.48465942939123,1,0.032535082616291816,0.007307105232030153
0,30000000,10,25,False,0.001,results_jan2021/results-Walker2d-v2--BBC.csv,3,4,4,my_RL_experts,"(512, 512)",False,25,,,,0.001,0,False,50,50,128,False,True,,,False,False,,False,0,True,,,,,False,1,,False,0,,1,1,5475.306786336117,99.45955791050467,5496.290599323942,89.30738631609151,mse,BC,Walker2d-v2,25000,"[0.005484831948662468, 0.0051959325, 0.0051053874, 0.005478576, 0.004885537, 0.004709749, 0.0046759965, 0.004862217, 0.0047264304, 0.0048724688]",6,1.0,1.0,True,2,1000,24999.999999999996,5165.054799774331,1268.1756682392202,0.0291528832167387,0.0060684108175337315,0.0291528832167387,120.1632984638214,2,0.032535082616291816,0.0060684108175337315
