#{"t_start": 1603715259.202109, "env_id": "Ant-v2"}
r,l,t
-6.97333,15,1.486935
-39.049454,70,1.605636
-28.058137,55,1.64223
-306.910938,1000,2.337443
-379.516692,1000,3.055375
1.17689,27,3.073146
-43.971805,119,3.153192
-100.794404,117,3.229846
-15.920788,46,3.260511
-383.371734,1000,3.952921
32.918032,114,4.038766
-22.516754,77,4.095479
-348.735039,1000,4.810395
-29.520754,263,4.988663
-67.996811,155,5.091878
-23.123615,88,5.149144
-29.19717,67,5.193609
-6.073178,17,5.204796
-28.066576,138,5.308515
-12.104647,42,5.337868
7.238991,18,5.349299
-8.31297,34,5.372638
-53.524206,158,5.485183
-119.553236,131,5.573802
-59.950887,163,5.680257
5.090824,23,5.695324
7.447676,63,5.736654
-25.698637,96,5.802773
-45.93939,63,5.844876
-4.074474,22,5.859322
-49.141787,117,5.936771
-5.203401,112,6.017624
-349.249356,1000,6.743052
-42.724096,88,6.80044
-25.197066,221,6.950226
-23.351741,78,7.001908
-38.413772,134,7.096564
-10.859027,24,7.112723
8.675225,57,7.14969
14.731381,53,7.196525
-57.435955,100,7.267928
18.482593,94,7.329763
-17.56903,15,7.340206
-1.884169,59,7.379727
-350.696671,1000,8.088349
-23.392894,67,8.138782
-9.490045,26,8.175489
-22.983516,65,8.217558
-59.890654,110,8.290632
-46.109685,78,8.342408
-423.188023,1000,18.973562
-32.629141,43,19.297371
-56.871717,134,20.306271
-113.164547,111,21.144968
-1.214159,58,21.580804
-22.924468,39,21.873633
-82.251516,94,22.576959
-0.915604,83,23.196167
-22.842106,49,23.563671
-24.564353,160,24.761815
-482.651188,1000,32.44561
-35.860466,70,32.991262
-517.314828,1000,40.776417
-11.666532,19,40.923607
-505.570705,1000,48.632689
-36.074066,119,49.545547
-488.072494,1000,57.254155
-20.143073,37,57.535338
5.560948,16,57.65851
-607.87198,1000,65.368797
-51.229021,54,65.780911
-3.624039,23,65.961961
-30.779251,56,66.397259
-11.910112,14,66.503314
-98.864342,267,68.668235
-3.250236,84,69.42156
-29.258908,25,69.650354
-58.568581,121,70.764085
-50.843202,123,71.909245
-41.789495,137,73.02222
-50.236795,61,73.511576
-135.378454,330,76.177813
-391.143427,1000,84.170014
-15.929315,50,84.563392
16.713775,79,85.189453
-302.453358,1000,95.652775
-251.032014,1000,103.577597
-1.002446,46,103.945395
-108.936673,1000,112.148714
60.328215,1000,120.135622
-74.775912,752,126.129193
-9.5194,55,126.568866
8.672659,90,127.29602
158.096511,1000,136.200712
15.510139,126,137.328817
17.562314,186,139.004696
36.844769,409,142.693988
47.795951,109,143.598507
108.478985,877,150.869907
146.914984,749,157.287173
294.096282,1000,166.110045
188.982462,1000,174.940049
471.062683,1000,188.230017
373.655504,1000,196.831408
146.158467,376,200.064177
255.219632,1000,208.835733
444.284599,1000,217.759116
324.610733,1000,226.461524
389.423745,1000,235.054286
418.902682,1000,243.494819
364.768899,1000,251.702488
494.59143,1000,260.147239
371.370751,1000,268.426147
429.783477,1000,278.739541
348.994185,1000,287.292247
453.798863,1000,295.652983
385.824567,1000,303.979751
467.192997,1000,312.552594
280.935615,1000,321.240715
417.827823,1000,330.266894
355.106816,1000,338.565959
398.096569,1000,347.022538
503.21781,1000,355.419504
465.082488,1000,367.381344
416.140679,1000,375.661713
493.371704,1000,383.944615
148.94456,327,386.651277
475.523679,905,394.212445
483.079329,1000,402.729113
404.727666,1000,411.35376
524.196888,1000,420.245668
481.022847,950,428.51952
254.176314,476,432.615344
94.887933,177,434.155051
500.295694,1000,442.98684
562.297686,1000,456.265049
522.962876,1000,465.249389
536.207444,1000,474.204679
535.575604,1000,482.787749
12.460848,21,482.967408
581.745738,1000,491.3837
657.711873,975,499.63051
