#{"t_start": 1603724316.7505445, "env_id": "Hopper-v2"}
r,l,t
33.635513,36,2.144372
12.090847,15,2.151
10.359111,13,2.157658
39.584887,31,2.171522
7.598892,13,2.176973
11.656673,21,2.187138
14.374033,19,2.196016
13.888247,18,2.204175
81.738224,58,2.231422
12.627859,16,2.239251
14.06759,16,2.249049
8.184273,10,2.254157
36.003281,39,2.276068
8.772076,17,2.283796
8.074663,13,2.290839
10.990867,24,2.301324
9.769643,11,2.306396
16.706352,24,2.318386
10.0056,15,2.325642
11.213582,16,2.333132
7.514825,9,2.338183
14.198664,17,2.348268
14.18836,38,2.368065
17.782706,16,2.377834
8.354939,13,2.384197
9.050507,12,2.38954
6.428622,10,2.395469
8.285634,13,2.401384
17.219063,26,2.415251
6.227253,10,2.420344
20.420184,19,2.429024
12.14588,13,2.436121
18.378979,28,2.451828
18.433731,20,2.461374
10.835212,16,2.532492
17.802012,27,2.545779
9.23184,14,2.552496
6.292721,15,2.559518
19.028616,25,2.572218
8.851983,12,2.577185
17.79613,34,2.594482
37.468283,31,2.608372
27.997969,48,2.63279
11.880347,16,2.640489
10.457738,14,2.647417
18.503369,34,2.664273
30.930919,27,2.677101
14.555864,26,2.690391
37.25812,51,2.714753
56.025142,53,2.743113
12.252764,27,2.756203
14.568113,17,2.765121
7.160038,9,2.769091
9.964056,16,2.777061
23.900347,23,2.788343
10.661655,15,2.796166
8.100316,15,2.80365
13.914417,15,2.810925
15.979968,32,2.826252
7.689435,15,2.834352
12.630018,15,2.841957
11.300564,14,2.848156
9.293006,12,2.85433
27.735209,41,2.876441
20.079583,26,2.889707
36.830724,30,2.906192
13.121618,17,2.914583
24.35275,27,2.931247
29.415084,28,2.946141
21.992807,31,2.965899
15.65812,21,2.976771
27.071819,27,2.99217
14.625003,23,3.005014
15.419247,18,3.016645
5.042292,11,3.021509
49.170623,46,3.046112
10.792995,30,3.063107
7.507007,11,3.069648
12.575841,23,3.082165
13.08398,17,3.091808
7.065139,12,3.09901
6.167711,10,3.105214
26.764475,26,3.11933
5.850881,22,3.133707
13.846807,16,3.143291
8.818217,37,3.16308
39.439,44,3.190358
12.299761,15,3.198278
36.989267,38,3.220634
20.866636,25,3.234255
10.095338,16,3.244561
44.274015,44,3.268228
7.239051,15,3.276358
9.180334,11,3.282871
31.403994,29,3.297339
18.538213,29,3.314074
6.968327,10,3.319581
8.629576,18,3.329201
15.15443,21,3.341532
13.749502,19,3.352358
38.219757,32,3.372444
9.367196,14,3.380885
32.264855,43,3.404243
10.936567,17,3.414192
7.417397,9,3.419011
9.246737,12,3.425741
10.110353,12,3.432041
83.331251,55,3.461445
9.998384,19,3.474279
8.957407,12,3.481144
9.443416,14,3.488169
8.388301,11,3.494197
41.462598,50,3.522049
6.132227,9,3.526969
7.774403,14,3.534521
9.636156,24,3.549677
11.7098,18,3.560366
53.679551,57,3.596763
10.00327,14,3.605273
10.500578,21,3.616462
10.251313,12,3.623353
10.776512,17,3.632755
13.367711,17,3.642488
20.821716,35,3.661708
20.560184,22,3.674115
14.136278,17,3.683453
11.527413,25,3.697016
16.983766,26,3.711793
13.75245,18,3.721309
9.65041,30,3.736969
14.411494,19,3.747772
20.278817,19,3.757994
20.681573,19,3.768076
31.000695,37,3.790278
9.709339,27,3.80659
17.923731,18,3.816027
7.825061,15,3.824299
13.618284,20,3.835296
10.001563,12,3.84199
44.657131,56,3.880292
8.370859,17,3.890164
13.153851,24,3.902946
6.134234,11,3.909667
17.239023,24,3.922462
7.582936,12,3.929533
10.669754,15,3.937167
9.067929,13,3.944407
15.008046,16,3.952538
18.338393,20,3.963152
40.172444,34,3.982035
5.808406,10,3.987867
29.295173,29,4.002512
13.39233,36,4.022772
9.718688,18,4.032419
10.324746,15,4.039059
25.565365,23,4.051048
11.215236,29,4.066911
17.39692,19,4.076945
9.126535,17,4.085344
10.083062,14,4.091803
13.715145,19,4.10297
7.359616,10,4.109185
17.325079,19,4.119383
11.11928,13,4.125861
7.13256,9,4.131339
9.363984,26,4.144754
8.376307,13,4.151544
6.814995,11,4.157241
4.260583,10,4.163449
7.310818,12,4.170089
10.547422,13,4.177146
21.45397,19,4.187834
20.250701,25,4.200457
19.315234,19,4.210601
10.888168,22,4.222218
11.158596,13,4.228845
12.824042,17,4.240236
21.58202,20,4.252064
15.500546,24,4.265087
9.479635,12,4.270886
8.260843,15,4.281398
13.512638,15,4.289928
8.731276,13,4.297198
12.969805,19,4.306796
8.082169,14,4.314854
34.494128,34,4.333748
25.886581,27,4.348752
11.356849,19,4.359077
17.463042,29,4.375643
10.833077,21,4.386316
13.999991,19,4.396877
11.175835,19,4.40689
9.229326,13,4.413376
37.568419,38,4.433587
18.606574,23,4.445947
15.912177,17,4.454347
23.440111,19,4.466184
10.272419,18,4.476126
40.796891,47,4.501654
9.358216,12,4.508851
10.433442,13,4.5154
7.478276,11,4.522135
