#{"t_start": 1603713501.0316482, "env_id": "HalfCheetah-v2"}
r,l,t
-250.66213,1000,1.741909
-267.414231,1000,1.986488
-236.834577,1000,2.226146
-270.285008,1000,2.473699
-267.541638,1000,2.714763
-270.059143,1000,3.010727
-316.680459,1000,3.246285
-214.256971,1000,3.481285
-235.939546,1000,3.719397
-408.082969,1000,3.954402
-242.318748,1000,13.408645
-175.197165,1000,20.096237
-267.714863,1000,26.767706
-220.551266,1000,33.429544
-276.295331,1000,40.096197
-210.389306,1000,46.736989
-274.220716,1000,53.335731
-311.687048,1000,59.843226
-354.051561,1000,66.620132
-252.659535,1000,73.682471
-242.738419,1000,82.958858
-257.70757,1000,90.057868
-246.057624,1000,97.153481
-181.707107,1000,104.217455
-182.976367,1000,111.274023
-313.976381,1000,118.350145
-261.817989,1000,125.447366
-116.52159,1000,132.514763
0.300102,1000,138.830539
245.07571,1000,145.168304
507.188398,1000,153.692213
802.049984,1000,160.172376
755.610725,1000,166.659256
671.476735,1000,173.186358
1113.390323,1000,179.742614
-154.532385,1000,186.626967
1220.582734,1000,193.531733
1382.566338,1000,200.263522
871.046053,1000,207.086924
1437.807604,1000,213.980046
1318.192877,1000,222.709321
1088.537876,1000,229.411778
1556.091012,1000,236.090887
1812.980366,1000,242.76605
1758.476549,1000,249.451071
1612.839397,1000,256.156068
1696.585315,1000,262.839851
1807.708358,1000,269.531092
1571.301224,1000,276.201136
1681.937679,1000,282.896912
1823.617555,1000,291.691958
2134.89211,1000,298.472909
2339.311263,1000,305.373099
2206.441347,1000,312.271892
2089.507362,1000,318.967396
1357.678839,1000,325.641073
2200.462819,1000,332.332573
2499.063027,1000,339.013549
2387.433552,1000,345.71669
2339.318166,1000,352.414869
2274.95053,1000,361.140329
2300.390534,1000,367.847229
2422.236336,1000,374.773994
2575.290079,1000,381.628852
2126.578568,1000,388.515766
2688.488162,1000,395.401767
2639.229577,1000,402.306469
2455.554125,1000,409.133789
2796.400961,1000,415.857881
2957.869864,1000,422.579461
2832.337036,1000,431.740816
2744.931712,1000,438.846322
2869.99272,1000,445.97238
3042.541122,1000,453.100424
3104.753596,1000,460.210276
3231.97131,1000,467.312616
3114.66643,1000,474.431935
3246.268927,1000,481.562515
2932.7656,1000,488.659264
3234.777246,1000,495.769613
3441.442282,1000,504.393752
3282.360258,1000,511.313467
3185.351972,1000,518.226869
3162.2629,1000,525.115808
3299.942579,1000,532.011712
3354.358994,1000,538.923913
3338.660425,1000,545.814647
3144.320345,1000,552.701943
2903.287176,1000,559.589386
3232.856662,1000,566.492442
3210.283169,1000,575.222437
3555.545023,1000,581.931119
3515.260248,1000,588.65614
3550.044849,1000,595.36484
3290.957776,1000,602.262022
3643.175249,1000,609.418289
3568.394959,1000,616.664393
3449.026446,1000,623.412867
3557.880162,1000,630.139947
3574.13181,1000,636.85516
3372.210453,1000,645.644011
3417.811656,1000,652.373809
3784.547144,1000,659.097853
3614.963599,1000,665.832502
3557.59151,1000,672.678152
3864.25089,1000,679.581961
3422.523137,1000,686.487795
3437.98,1000,693.40179
3866.080458,1000,700.301808
3945.062533,1000,707.190505
3967.954925,1000,716.07616
3861.2668,1000,723.0243
