N_E_traj,verbose,total_opt_steps,kill_feats,add_history,RL_expert_folder,FORWARD,opt_seed,run_seed,learning_rate_BC,learning_rate,density_ratio_feature_map,density_ratio_alpha,results_path,N_ALICE_traj,N_agg_iter,N_epoch,adversary_feature_map,entropy_coeff,H_dims,linear,N_test_E_traj,N_test_rollout,batch_size,reinit_opt,record_intermediate,NN_mid_as_feats,N_FAIL_samps,render,render_final,switch_2_E_after,random_demos,RL_expert_exp_id,RL_expert_load_best,RL_expert_algo,T_max_all,T_max,model_reg_coeff,partial_obs,recent_samp_priority_exp,horizon_weight_offset_exp,pair_with_E,drop_first,adversary_t_bucket_size,recompute_adversary_freq,loss_function,alg,env_id,N_E_samp,entropy,num_switched,epoch_losses,best_epoch_ind,mean_abs_logit,min_abs_logit,w_max,w_min,final,iteration_num,horizon,w_ESS,reward,reward_std,loss_test,loss_train,class_test,runtime,JS_div
100,2,5000,"(3,)",False,my_RL_experts,True,0,0,0.1,0.01,RuLSIF,1.0,results_dec2020/results-CartPole-v1--initial_param_exploration.csv,100,10,5,,0,"(512,)",False,50,50,128,False,False,,,False,False,,False,0,True,,,,,False,1,,False,0,,1,,ALICE-Cov-PO3,CartPole-v1,50000,0.10840874910354614,86.0,"[0.08603177659615455, 0.0908385, 0.06771069, 0.06962406, 0.068437085]",2.0,1.2016276121139526,0.5377558469772339,1.0,1.4534382524785275e-05,False,10,1,44.63621824913711,11.0,0.0,0.5706390142440796,0.06863752007484436,0.239999994635582,2.020692571004232,0.7287111248965288
100,2,5000,"(3,)",False,my_RL_experts,True,0,0,0.1,0.01,RuLSIF,1.0,results_dec2020/results-CartPole-v1--initial_param_exploration.csv,100,10,5,,0,"(512,)",False,50,50,128,False,False,,,False,False,,False,0,True,,,,,False,1,,False,0,,1,,ALICE-Cov-PO3,CartPole-v1,50000,0.01857094652950764,12.0,"[0.03036290875393888, 0.025153898, 0.01584928, 0.015278109, 0.014270873]",4.0,2.1614749431610107,1.144059658050537,1.0,0.000405551979694536,False,11,1,62.04660778489208,12.0,0.0,0.018312819302082062,0.014135160483419897,0.0,2.2119906743367515,0.6748497282100869
100,2,5000,"(3,)",False,my_RL_experts,True,0,0,0.1,0.01,RuLSIF,1.0,results_dec2020/results-CartPole-v1--initial_param_exploration.csv,100,10,5,,0,"(512,)",False,50,50,128,False,False,,,False,False,,False,0,True,,,,,False,1,,False,0,,1,,ALICE-Cov-PO3,CartPole-v1,50000,0.14496490359306335,14.0,"[0.0839423359067365, 0.07863042, 0.07765141, 0.076873414, 0.07639884]",4.0,0.9490817785263062,0.09721721708774568,1.0,4.0554556303818015e-06,False,12,1,57.075094541643104,13.0,0.0,0.3028336763381958,0.07677547633647919,0.14000000059604645,2.460440957546234,0.2328512132333953
100,2,5000,"(3,)",False,my_RL_experts,True,0,0,0.1,0.01,RuLSIF,1.0,results_dec2020/results-CartPole-v1--initial_param_exploration.csv,100,10,5,,0,"(512,)",False,50,50,128,False,False,,,False,False,,False,0,True,,,,,False,1,,False,0,,1,,ALICE-Cov-PO3,CartPole-v1,50000,0.05598191171884537,30.0,"[0.06720342079376042, 0.052366477, 0.047768537, 0.043279752, 0.042547632]",4.0,1.763817310333252,0.4870152473449707,1.0,7.42801915730285e-07,False,13,1,57.64992362234807,14.0,0.0,0.2091771960258484,0.04219371452927589,0.059999998658895486,2.686798532803853,0.2131240176336152
100,2,5000,"(3,)",False,my_RL_experts,True,0,0,0.1,0.01,RuLSIF,1.0,results_dec2020/results-CartPole-v1--initial_param_exploration.csv,100,10,5,,0,"(512,)",False,50,50,128,False,False,,,False,False,,False,0,True,,,,,False,1,,False,0,,1,,ALICE-Cov-PO3,CartPole-v1,50000,0.04053429514169693,36.0,"[0.03681995475421342, 0.042581454, 0.033016898, 0.031953707, 0.02929237]",4.0,1.8420566320419312,0.6863551139831543,1.0,3.370677833281972e-06,False,14,1,54.48847978833137,15.0,0.0,0.14724767208099365,0.02937051467597485,0.03999999910593033,2.9002954284350086,0.2001398580139505
100,2,5000,"(3,)",False,my_RL_experts,True,0,0,0.1,0.01,RuLSIF,1.0,results_dec2020/results-CartPole-v1--initial_param_exploration.csv,100,10,5,,0,"(512,)",False,50,50,128,False,False,,,False,False,,False,0,True,,,,,False,1,,False,0,,1,,ALICE-Cov-PO3,CartPole-v1,50000,0.12074132263660432,53.0,"[0.13425302148396895, 0.08443833, 0.08179586, 0.08367702, 0.0817135]",4.0,1.37200665473938,0.009727895259857178,1.0,5.940179688149432e-17,False,15,1,61.55990268393974,16.0,0.0,0.2576826512813568,0.0807124599814415,0.119999997317791,3.14109605550766,0.2684503612175718
100,2,5000,"(3,)",False,my_RL_experts,True,0,0,0.1,0.01,RuLSIF,1.0,results_dec2020/results-CartPole-v1--initial_param_exploration.csv,100,10,5,,0,"(512,)",False,50,50,128,False,False,,,False,False,,False,0,True,,,,,False,1,,False,0,,1,,ALICE-Cov-PO3,CartPole-v1,50000,0.04496265575289726,17.0,"[0.03495882766516004, 0.027831228, 0.027584627, 0.027217356, 0.026739294]",4.0,2.10345458984375,0.10700163245201112,1.0,2.1243114469946806e-05,False,16,1,58.72944211849396,17.0,0.0,0.06304000318050385,0.026722552254796028,0.0,3.4003823002179465,0.20983749798994752
100,2,5000,"(3,)",False,my_RL_experts,True,0,0,0.1,0.01,RuLSIF,1.0,results_dec2020/results-CartPole-v1--initial_param_exploration.csv,100,10,5,,0,"(512,)",False,50,50,128,False,False,,,False,False,,False,0,True,,,,,False,1,,False,0,,1,,ALICE-Cov-PO3,CartPole-v1,50000,0.19909055531024933,8.0,"[0.1024730939185065, 0.10337812, 0.0990285, 0.09734726, 0.09468814]",4.0,0.8088226318359375,0.009128153324127196,1.0,6.622462045315194e-17,False,17,1,47.14710585842474,18.0,0.0,0.33616769313812256,0.0945618450641632,0.1599999964237213,3.6441876371701563,0.19991724494410626
100,2,5000,"(3,)",False,my_RL_experts,True,0,0,0.1,0.01,RuLSIF,1.0,results_dec2020/results-CartPole-v1--initial_param_exploration.csv,100,10,5,,0,"(512,)",False,50,50,128,False,False,,,False,False,,False,0,True,,,,,False,1,,False,0,,1,,ALICE-Cov-PO3,CartPole-v1,50000,5.56386548851151e-05,0.0,"[0.00026808124715216764, 7.07753e-05, 4.471752e-05, 2.5804677e-05, 1.6947168e-05]",4.0,5.163792610168457,4.066917419433594,1.0,0.0006820010704511728,False,18,1,67.86802545248585,19.0,0.0,6.073806798667646e-05,1.6305208191624846e-05,0.0,3.8493623932202654,0.2204889340556659
100,2,5000,"(3,)",False,my_RL_experts,True,0,0,0.1,0.01,RuLSIF,1.0,results_dec2020/results-CartPole-v1--initial_param_exploration.csv,100,10,5,,0,"(512,)",False,50,50,128,False,False,,,False,False,,False,0,True,,,,,False,1,,False,0,,1,,ALICE-Cov-PO3,CartPole-v1,50000,0.17705701291561127,21.0,"[0.08919596205319977, 0.08642143, 0.0819823, 0.07970506, 0.0769949]",4.0,0.9296213388442992,0.04814550280570984,1.0,0.0015688933535441714,False,19,1,53.44494235772817,20.0,0.0,0.654954195022583,0.07688120752573012,0.30000001192092896,4.3140375971794125,0.17536275888543762
100,2,5000,"(3,)",False,my_RL_experts,True,0,0,0.1,0.01,RuLSIF,1.0,results_dec2020/results-CartPole-v1--initial_param_exploration.csv,100,10,5,,0,"(512,)",False,50,50,128,False,False,,,False,False,,False,0,True,,,,,False,1,,False,0,,1,,ALICE-Cov-PO3,CartPole-v1,50000,0.012413298711180687,0.0,"[0.017143161901391188, 0.016157035, 0.015234443, 0.014212647, 0.013688307]",4.0,3.694865465164185,0.6184594631195068,1.0,0.0007730828323973063,False,20,1,58.74001397500732,21.0,0.0,0.07284195721149445,0.013805552385747431,0.019999999552965164,4.520573222637177,0.19748480555193407
100,2,5000,"(3,)",False,my_RL_experts,True,0,0,0.1,0.01,RuLSIF,1.0,results_dec2020/results-CartPole-v1--initial_param_exploration.csv,100,10,5,,0,"(512,)",False,50,50,128,False,False,,,False,False,,False,0,True,,,,,False,1,,False,0,,1,,ALICE-Cov-PO3,CartPole-v1,50000,0.1702883541584015,32.0,"[0.10788907923262742, 0.08943111, 0.07682866, 0.06956465, 0.06781192]",4.0,1.0070967674255369,0.008394241333007812,1.0,0.00015375076814226127,False,21,1,51.75331612160014,22.0,0.0,0.5396019220352173,0.0680551752448082,0.2800000011920929,4.7479662497838335,0.5637183026186359
